,rseed,num_req,adm_rate,succ_order_rate,service_rate,policy,pct
698,49,172,8.7209,100.0,8.7209,NomiSch,60
699,50,179,10.0559,77.7778,7.8212,NomiSch,60
700,1,144,10.4167,100.0,10.4167,NomiSch,63
701,2,155,9.6774,100.0,9.6774,NomiSch,63
702,3,179,11.1732,70.0,7.8212,NomiSch,63
703,4,179,8.3799,100.0,8.3799,NomiSch,63
704,5,160,11.875,73.6842,8.75,NomiSch,63
705,6,167,10.7784,77.7778,8.3832,NomiSch,63
706,7,164,9.1463,100.0,9.1463,NomiSch,63
707,8,165,10.303,82.3529,8.4848,NomiSch,63
708,9,180,8.8889,93.75,8.3333,NomiSch,63
709,10,162,12.3457,70.0,8.642,NomiSch,63
710,11,180,10.0,77.7778,7.7778,NomiSch,63
711,12,152,11.8421,83.3333,9.8684,NomiSch,63
712,13,145,12.4138,77.7778,9.6552,NomiSch,63
713,14,164,10.3659,82.3529,8.5366,NomiSch,63
714,15,154,9.7403,100.0,9.7403,NomiSch,63
715,16,168,10.7143,77.7778,8.3333,NomiSch,63
716,17,182,11.5385,61.9048,7.1429,NomiSch,63
717,18,180,10.5556,73.6842,7.7778,NomiSch,63
718,19,161,12.4224,70.0,8.6957,NomiSch,63
719,20,204,9.3137,78.9474,7.3529,NomiSch,63
720,21,178,8.427,100.0,8.427,NomiSch,63
721,22,159,11.3208,77.7778,8.805,NomiSch,63
722,23,158,10.7595,88.2353,9.4937,NomiSch,63
723,24,185,9.1892,88.2353,8.1081,NomiSch,63
724,25,166,10.241,88.2353,9.0361,NomiSch,63
725,26,182,10.4396,73.6842,7.6923,NomiSch,63
726,27,186,8.6022,93.75,8.0645,NomiSch,63
727,28,174,11.4943,70.0,8.046,NomiSch,63
728,29,169,10.0592,88.2353,8.8757,NomiSch,63
729,30,165,9.0909,100.0,9.0909,NomiSch,63
730,31,154,10.3896,93.75,9.7403,NomiSch,63
731,32,160,11.875,68.4211,8.125,NomiSch,63
732,33,181,8.8398,93.75,8.2873,NomiSch,63
733,34,144,11.1111,93.75,10.4167,NomiSch,63
734,35,185,8.6486,93.75,8.1081,NomiSch,63
735,36,173,11.5607,70.0,8.0925,NomiSch,63
736,37,182,12.0879,63.6364,7.6923,NomiSch,63
737,38,185,9.1892,88.2353,8.1081,NomiSch,63
738,39,188,10.1064,78.9474,7.9787,NomiSch,63
739,40,156,10.8974,88.2353,9.6154,NomiSch,63
740,41,160,9.375,100.0,9.375,NomiSch,63
741,42,156,10.2564,87.5,8.9744,NomiSch,63
742,43,164,11.5854,73.6842,8.5366,NomiSch,63
743,44,170,12.3529,66.6667,8.2353,NomiSch,63
744,45,169,11.8343,70.0,8.284,NomiSch,63
745,46,133,11.2782,100.0,11.2782,NomiSch,63
746,47,173,10.9827,78.9474,8.6705,NomiSch,63
747,48,163,11.0429,77.7778,8.589,NomiSch,63
748,49,172,8.7209,100.0,8.7209,NomiSch,63
749,50,179,10.0559,77.7778,7.8212,NomiSch,63
750,1,144,10.4167,100.0,10.4167,NomiSch,67
751,2,155,9.6774,100.0,9.6774,NomiSch,67
752,3,179,10.6145,78.9474,8.3799,NomiSch,67
753,4,179,9.4972,82.3529,7.8212,NomiSch,67
754,5,160,11.875,73.6842,8.75,NomiSch,67
755,6,167,11.3772,73.6842,8.3832,NomiSch,67
756,7,164,9.1463,100.0,9.1463,NomiSch,67
757,8,165,10.303,82.3529,8.4848,NomiSch,67
758,9,180,8.8889,87.5,7.7778,NomiSch,67
759,10,162,9.2593,100.0,9.2593,NomiSch,67
760,11,180,9.4444,88.2353,8.3333,NomiSch,67
761,12,152,9.8684,100.0,9.8684,NomiSch,67
762,13,145,11.0345,93.75,10.3448,NomiSch,67
763,14,164,10.3659,82.3529,8.5366,NomiSch,67
764,15,154,9.7403,100.0,9.7403,NomiSch,67
765,16,168,10.119,88.2353,8.9286,NomiSch,67
766,17,182,9.3407,82.3529,7.6923,NomiSch,67
767,18,180,8.3333,100.0,8.3333,NomiSch,67
768,19,161,10.559,88.2353,9.3168,NomiSch,67
769,20,204,7.3529,100.0,7.3529,NomiSch,67
770,21,178,8.427,100.0,8.427,NomiSch,67
771,22,159,10.6918,82.3529,8.805,NomiSch,67
772,23,158,9.4937,100.0,9.4937,NomiSch,67
773,24,185,8.1081,100.0,8.1081,NomiSch,67
774,25,166,9.0361,100.0,9.0361,NomiSch,67
775,26,182,11.5385,61.9048,7.1429,NomiSch,67
776,27,186,8.6022,93.75,8.0645,NomiSch,67
777,28,174,11.4943,70.0,8.046,NomiSch,67
778,29,169,8.8757,100.0,8.8757,NomiSch,67
779,30,165,9.0909,100.0,9.0909,NomiSch,67
780,31,154,10.3896,93.75,9.7403,NomiSch,67
781,32,160,10.0,87.5,8.75,NomiSch,67
782,33,181,8.2873,100.0,8.2873,NomiSch,67
783,34,144,11.1111,87.5,9.7222,NomiSch,67
784,35,185,8.6486,93.75,8.1081,NomiSch,67
785,36,173,9.2486,93.75,8.6705,NomiSch,67
786,37,182,8.7912,87.5,7.6923,NomiSch,67
787,38,185,9.1892,88.2353,8.1081,NomiSch,67
788,39,188,10.1064,78.9474,7.9787,NomiSch,67
789,40,156,9.6154,100.0,9.6154,NomiSch,67
790,41,160,10.0,87.5,8.75,NomiSch,67
791,42,156,10.2564,87.5,8.9744,NomiSch,67
792,43,164,10.3659,82.3529,8.5366,NomiSch,67
793,44,170,11.1765,73.6842,8.2353,NomiSch,67
794,45,169,9.4675,93.75,8.8757,NomiSch,67
795,46,133,11.2782,100.0,11.2782,NomiSch,67
796,47,173,10.4046,83.3333,8.6705,NomiSch,67
797,48,163,9.2025,100.0,9.2025,NomiSch,67
798,49,172,8.7209,100.0,8.7209,NomiSch,67
799,50,179,10.0559,77.7778,7.8212,NomiSch,67
800,1,144,10.4167,100.0,10.4167,NomiSch,68
801,2,155,9.6774,100.0,9.6774,NomiSch,68
802,3,179,10.0559,83.3333,8.3799,NomiSch,68
803,4,179,8.3799,100.0,8.3799,NomiSch,68
804,5,160,11.25,77.7778,8.75,NomiSch,68
805,6,167,10.7784,77.7778,8.3832,NomiSch,68
806,7,164,9.7561,87.5,8.5366,NomiSch,68
807,8,165,10.303,82.3529,8.4848,NomiSch,68
808,9,180,8.8889,93.75,8.3333,NomiSch,68
809,10,162,9.2593,100.0,9.2593,NomiSch,68
810,11,180,8.8889,93.75,8.3333,NomiSch,68
811,12,152,9.8684,100.0,9.8684,NomiSch,68
812,13,145,11.0345,93.75,10.3448,NomiSch,68
813,14,164,10.3659,82.3529,8.5366,NomiSch,68
814,15,154,9.7403,100.0,9.7403,NomiSch,68
815,16,168,11.3095,78.9474,8.9286,NomiSch,68
816,17,182,8.2418,100.0,8.2418,NomiSch,68
817,18,180,8.3333,100.0,8.3333,NomiSch,68
818,19,161,10.559,88.2353,9.3168,NomiSch,68
