,rseed,num_req,adm_rate,succ_order_rate,service_rate,policy,pct
625,26,182,23.6264,30.2326,7.1429,EDDPred,57
626,27,186,23.6559,34.0909,8.0645,EDDPred,57
627,28,174,27.5862,25,6.8966,EDDPred,57
628,29,169,28.4024,31.25,8.8757,EDDPred,57
629,30,165,24.2424,37.5,9.0909,EDDPred,57
630,31,154,28.5714,31.8182,9.0909,EDDPred,57
631,32,160,25,32.5,8.125,EDDPred,57
632,33,181,22.6519,41.4634,9.3923,EDDPred,57
633,34,144,28.4722,29.2683,8.3333,EDDPred,57
634,35,185,24.3243,26.6667,6.4865,EDDPred,57
635,36,173,23.1214,40,9.2486,EDDPred,57
636,37,182,23.0769,30.9524,7.1429,EDDPred,57
637,38,185,24.3243,28.8889,7.027,EDDPred,57
638,39,188,19.1489,50,9.5745,EDDPred,57
639,40,156,28.8462,28.8889,8.3333,EDDPred,57
640,41,160,25,37.5,9.375,EDDPred,57
641,42,156,26.9231,33.3333,8.9744,EDDPred,57
642,43,164,21.9512,41.6667,9.1463,EDDPred,57
643,44,170,25.8824,27.2727,7.0588,EDDPred,57
644,45,169,21.3018,50,10.6509,EDDPred,57
645,46,133,31.5789,30.9524,9.7744,EDDPred,57
646,47,173,24.2775,33.3333,8.0925,EDDPred,57
647,48,163,25.7669,30.9524,7.9755,EDDPred,57
648,49,172,23.8372,34.1463,8.1395,EDDPred,57
649,50,179,26.257,27.6596,7.2626,EDDPred,57
650,1,144,25,38.8889,9.7222,EDDPred,60
651,2,155,25.1613,46.1538,11.6129,EDDPred,60
652,3,179,23.4637,30.9524,7.2626,EDDPred,60
653,4,179,20.1117,38.8889,7.8212,EDDPred,60
654,5,160,28.75,28.2609,8.125,EDDPred,60
655,6,167,24.5509,29.2683,7.1856,EDDPred,60
656,7,164,21.9512,44.4444,9.7561,EDDPred,60
657,8,165,23.6364,30.7692,7.2727,EDDPred,60
658,9,180,23.3333,28.5714,6.6667,EDDPred,60
659,10,162,21.6049,45.7143,9.8765,EDDPred,60
660,11,180,19.4444,45.7143,8.8889,EDDPred,60
661,12,152,25.6579,33.3333,8.5526,EDDPred,60
662,13,145,27.5862,40,11.0345,EDDPred,60
663,14,164,23.1707,36.8421,8.5366,EDDPred,60
664,15,154,24.026,37.8378,9.0909,EDDPred,60
665,16,168,22.0238,43.2432,9.5238,EDDPred,60
666,17,182,24.1758,31.8182,7.6923,EDDPred,60
667,18,180,24.4444,34.0909,8.3333,EDDPred,60
668,19,161,21.7391,42.8571,9.3168,EDDPred,60
669,20,204,19.6078,35,6.8627,EDDPred,60
670,21,178,19.6629,42.8571,8.427,EDDPred,60
671,22,159,23.8994,39.4737,9.434,EDDPred,60
672,23,158,25.3165,37.5,9.4937,EDDPred,60
673,24,185,23.7838,34.0909,8.1081,EDDPred,60
674,25,166,21.0843,40,8.4337,EDDPred,60
675,26,182,24.7253,31.1111,7.6923,EDDPred,60
676,27,186,23.1183,32.5581,7.5269,EDDPred,60
677,28,174,24.7126,27.907,6.8966,EDDPred,60
678,29,169,27.2189,32.6087,8.8757,EDDPred,60
679,30,165,21.8182,41.6667,9.0909,EDDPred,60
680,31,154,26.6234,36.5854,9.7403,EDDPred,60
681,32,160,26.25,30.9524,8.125,EDDPred,60
682,33,181,20.442,43.2432,8.8398,EDDPred,60
683,34,144,27.0833,30.7692,8.3333,EDDPred,60
684,35,185,22.1622,31.7073,7.027,EDDPred,60
685,36,173,21.3873,45.9459,9.8266,EDDPred,60
686,37,182,23.0769,30.9524,7.1429,EDDPred,60
687,38,185,22.7027,28.5714,6.4865,EDDPred,60
688,39,188,20.7447,43.5897,9.0426,EDDPred,60
689,40,156,28.2051,29.5455,8.3333,EDDPred,60
690,41,160,23.125,37.8378,8.75,EDDPred,60
691,42,156,26.2821,34.1463,8.9744,EDDPred,60
692,43,164,25,36.5854,9.1463,EDDPred,60
693,44,170,25.8824,27.2727,7.0588,EDDPred,60
694,45,169,21.8935,43.2432,9.4675,EDDPred,60
695,46,133,31.5789,30.9524,9.7744,EDDPred,60
696,47,173,26.0116,31.1111,8.0925,EDDPred,60
