,rseed,num_req,adm_rate,succ_order_rate,service_rate,policy,pct
501,2,155,7.7419,91.6667,7.0968,NomiSch,80
502,3,179,8.3799,80.0,6.7039,NomiSch,80
503,4,179,8.3799,93.3333,7.8212,NomiSch,80
504,5,160,10.0,81.25,8.125,NomiSch,80
505,6,167,8.3832,100.0,8.3832,NomiSch,80
506,7,164,9.1463,86.6667,7.9268,NomiSch,80
507,8,165,9.0909,93.3333,8.4848,NomiSch,80
508,9,180,7.2222,84.6154,6.1111,NomiSch,80
509,10,162,9.2593,86.6667,8.0247,NomiSch,80
510,11,180,7.7778,100.0,7.7778,NomiSch,80
511,12,152,9.2105,100.0,9.2105,NomiSch,80
512,13,145,10.3448,86.6667,8.9655,NomiSch,80
513,14,164,9.1463,80.0,7.3171,NomiSch,80
514,15,154,9.7403,93.3333,9.0909,NomiSch,80
515,16,168,8.9286,80.0,7.1429,NomiSch,80
516,17,182,7.1429,100.0,7.1429,NomiSch,80
517,18,180,8.3333,86.6667,7.2222,NomiSch,80
518,19,161,7.4534,100.0,7.4534,NomiSch,80
519,20,204,6.3725,92.3077,5.8824,NomiSch,80
520,21,178,6.1798,100.0,6.1798,NomiSch,80
521,22,159,7.5472,100.0,7.5472,NomiSch,80
522,23,158,9.4937,100.0,9.4937,NomiSch,80
523,24,185,7.5676,100.0,7.5676,NomiSch,80
524,25,166,9.0361,100.0,9.0361,NomiSch,80
525,26,182,11.5385,61.9048,7.1429,NomiSch,80
526,27,186,6.9892,100.0,6.9892,NomiSch,80
527,28,174,10.3448,77.7778,8.046,NomiSch,80
528,29,169,7.1006,91.6667,6.5089,NomiSch,80
529,30,165,8.4848,92.8571,7.8788,NomiSch,80
530,31,154,9.7403,86.6667,8.4416,NomiSch,80
531,32,160,9.375,86.6667,8.125,NomiSch,80
532,33,181,7.1823,100.0,7.1823,NomiSch,80
533,34,144,8.3333,100.0,8.3333,NomiSch,80
534,35,185,8.1081,93.3333,7.5676,NomiSch,80
535,36,173,8.6705,100.0,8.6705,NomiSch,80
536,37,182,7.6923,85.7143,6.5934,NomiSch,80
537,38,185,7.5676,100.0,7.5676,NomiSch,80
538,39,188,7.9787,73.3333,5.8511,NomiSch,80
539,40,156,8.3333,100.0,8.3333,NomiSch,80
540,41,160,8.125,92.3077,7.5,NomiSch,80
541,42,156,9.6154,80.0,7.6923,NomiSch,80
542,43,164,8.5366,92.8571,7.9268,NomiSch,80
543,44,170,8.2353,85.7143,7.0588,NomiSch,80
544,45,169,8.284,100.0,8.284,NomiSch,80
545,46,133,9.7744,100.0,9.7744,NomiSch,80
546,47,173,7.5145,92.3077,6.9364,NomiSch,80
547,48,163,8.589,92.8571,7.9755,NomiSch,80
548,49,172,7.5581,100.0,7.5581,NomiSch,80
549,50,179,7.8212,85.7143,6.7039,NomiSch,80
550,1,144,7.6389,100.0,7.6389,NomiSch,81
551,2,155,7.7419,91.6667,7.0968,NomiSch,81
552,3,179,8.3799,80.0,6.7039,NomiSch,81
553,4,179,7.8212,92.8571,7.2626,NomiSch,81
554,5,160,9.375,73.3333,6.875,NomiSch,81
555,6,167,8.3832,92.8571,7.7844,NomiSch,81
556,7,164,8.5366,92.8571,7.9268,NomiSch,81
557,8,165,7.8788,100.0,7.8788,NomiSch,81
558,9,180,6.6667,83.3333,5.5556,NomiSch,81
559,10,162,8.0247,92.3077,7.4074,NomiSch,81
560,11,180,7.2222,100.0,7.2222,NomiSch,81
561,12,152,8.5526,100.0,8.5526,NomiSch,81
562,13,145,9.6552,85.7143,8.2759,NomiSch,81
563,14,164,8.5366,78.5714,6.7073,NomiSch,81
564,15,154,9.7403,93.3333,9.0909,NomiSch,81
565,16,168,8.3333,85.7143,7.1429,NomiSch,81
566,17,182,6.5934,100.0,6.5934,NomiSch,81
567,18,180,8.3333,86.6667,7.2222,NomiSch,81
568,19,161,6.8323,100.0,6.8323,NomiSch,81
569,20,204,5.8824,100.0,5.8824,NomiSch,81
570,21,178,6.1798,100.0,6.1798,NomiSch,81
571,22,159,6.9182,100.0,6.9182,NomiSch,81
572,23,158,7.5949,100.0,7.5949,NomiSch,81
573,24,185,7.5676,100.0,7.5676,NomiSch,81
574,25,166,9.0361,93.3333,8.4337,NomiSch,81
575,26,182,9.8901,72.2222,7.1429,NomiSch,81
576,27,186,6.4516,100.0,6.4516,NomiSch,81
577,28,174,9.7701,76.4706,7.4713,NomiSch,81
578,29,169,6.5089,90.9091,5.9172,NomiSch,81
579,30,165,8.4848,92.8571,7.8788,NomiSch,81
580,31,154,9.0909,85.7143,7.7922,NomiSch,81
581,32,160,9.375,80.0,7.5,NomiSch,81
582,33,181,6.6298,100.0,6.6298,NomiSch,81
583,34,144,8.3333,100.0,8.3333,NomiSch,81
584,35,185,7.5676,85.7143,6.4865,NomiSch,81
585,36,173,7.5145,92.3077,6.9364,NomiSch,81
586,37,182,7.1429,84.6154,6.044,NomiSch,81
587,38,185,7.5676,100.0,7.5676,NomiSch,81
588,39,188,7.9787,80.0,6.383,NomiSch,81
589,40,156,8.3333,92.3077,7.6923,NomiSch,81
590,41,160,7.5,91.6667,6.875,NomiSch,81
591,42,156,8.9744,78.5714,7.0513,NomiSch,81
592,43,164,8.5366,92.8571,7.9268,NomiSch,81
593,44,170,7.0588,91.6667,6.4706,NomiSch,81
594,45,169,7.6923,100.0,7.6923,NomiSch,81
595,46,133,9.7744,100.0,9.7744,NomiSch,81
596,47,173,6.9364,91.6667,6.3584,NomiSch,81
597,48,163,7.9755,100.0,7.9755,NomiSch,81
598,49,172,6.9767,100.0,6.9767,NomiSch,81
599,50,179,7.8212,85.7143,6.7039,NomiSch,81
600,1,144,6.9444,100.0,6.9444,NomiSch,82
