,rseed,num_req,adm_rate,succ_order_rate,service_rate,policy,pct
558,9,180,18.8889,35.2941,6.6667,EDDPred,81
559,10,162,17.9012,51.7241,9.2593,EDDPred,81
560,11,180,18.8889,47.0588,8.8889,EDDPred,81
561,12,152,23.6842,36.1111,8.5526,EDDPred,81
562,13,145,24.1379,45.7143,11.0345,EDDPred,81
563,14,164,20.122,42.4242,8.5366,EDDPred,81
564,15,154,21.4286,39.3939,8.4416,EDDPred,81
565,16,168,19.0476,43.75,8.3333,EDDPred,81
566,17,182,23.0769,33.3333,7.6923,EDDPred,81
567,18,180,21.1111,36.8421,7.7778,EDDPred,81
568,19,161,21.118,44.1176,9.3168,EDDPred,81
569,20,204,18.1373,35.1351,6.3725,EDDPred,81
570,21,178,19.6629,42.8571,8.427,EDDPred,81
571,22,159,20.7547,51.5152,10.6918,EDDPred,81
572,23,158,22.7848,44.4444,10.1266,EDDPred,81
573,24,185,21.0811,38.4615,8.1081,EDDPred,81
574,25,166,21.0843,37.1429,7.8313,EDDPred,81
575,26,182,23.6264,32.5581,7.6923,EDDPred,81
576,27,186,20.9677,41.0256,8.6022,EDDPred,81
577,28,174,23.5632,31.7073,7.4713,EDDPred,81
578,29,169,26.6272,33.3333,8.8757,EDDPred,81
579,30,165,20.0,45.4545,9.0909,EDDPred,81
580,31,154,22.0779,44.1176,9.7403,EDDPred,81
581,32,160,25.0,32.5,8.125,EDDPred,81
582,33,181,18.7845,50.0,9.3923,EDDPred,81
583,34,144,25.6944,35.1351,9.0278,EDDPred,81
584,35,185,23.2432,27.907,6.4865,EDDPred,81
585,36,173,21.9653,42.1053,9.2486,EDDPred,81
586,37,182,23.6264,27.907,6.5934,EDDPred,81
587,38,185,23.2432,30.2326,7.027,EDDPred,81
588,39,188,18.0851,50.0,9.0426,EDDPred,81
589,40,156,26.9231,30.9524,8.3333,EDDPred,81
590,41,160,22.5,41.6667,9.375,EDDPred,81
591,42,156,24.359,36.8421,8.9744,EDDPred,81
592,43,164,25.6098,28.5714,7.3171,EDDPred,81
593,44,170,24.7059,28.5714,7.0588,EDDPred,81
594,45,169,20.7101,40.0,8.284,EDDPred,81
595,46,133,29.3233,33.3333,9.7744,EDDPred,81
596,47,173,23.6994,36.5854,8.6705,EDDPred,81
597,48,163,22.6994,37.8378,8.589,EDDPred,81
598,49,172,19.186,39.3939,7.5581,EDDPred,81
599,50,179,21.7877,33.3333,7.2626,EDDPred,81
600,1,144,20.8333,46.6667,9.7222,EDDPred,82
601,2,155,21.9355,50.0,10.9677,EDDPred,82
602,3,179,21.7877,33.3333,7.2626,EDDPred,82
603,4,179,18.4358,42.4242,7.8212,EDDPred,82
604,5,160,28.125,28.8889,8.125,EDDPred,82
605,6,167,20.9581,34.2857,7.1856,EDDPred,82
606,7,164,22.561,43.2432,9.7561,EDDPred,82
607,8,165,21.8182,33.3333,7.2727,EDDPred,82
608,9,180,18.8889,35.2941,6.6667,EDDPred,82
609,10,162,17.9012,51.7241,9.2593,EDDPred,82
610,11,180,18.8889,47.0588,8.8889,EDDPred,82
611,12,152,23.6842,36.1111,8.5526,EDDPred,82
612,13,145,24.1379,45.7143,11.0345,EDDPred,82
613,14,164,20.122,42.4242,8.5366,EDDPred,82
614,15,154,20.7792,43.75,9.0909,EDDPred,82
615,16,168,16.6667,53.5714,8.9286,EDDPred,82
616,17,182,23.0769,33.3333,7.6923,EDDPred,82
617,18,180,21.1111,36.8421,7.7778,EDDPred,82
618,19,161,21.118,44.1176,9.3168,EDDPred,82
619,20,204,18.1373,35.1351,6.3725,EDDPred,82
620,21,178,20.7865,43.2432,8.9888,EDDPred,82
621,22,159,20.1258,53.125,10.6918,EDDPred,82
622,23,158,22.7848,44.4444,10.1266,EDDPred,82
623,24,185,20.5405,39.4737,8.1081,EDDPred,82
624,25,166,21.0843,37.1429,7.8313,EDDPred,82
625,26,182,23.6264,32.5581,7.6923,EDDPred,82
