,req_index,order_time,desired_time,admit_outcome,toa_current_inv,commit_outcome,realized_cycle_duration,commit_time,finish_time,commit_item
0,0,1,19,1,5,2.0,33.0,1.0,1.0,0.0
1,1,1,21,1,4,2.0,62.0,1.0,1.0,1.0
2,2,1,12,1,3,2.0,48.0,1.0,1.0,2.0
3,3,1,17,1,2,2.0,55.0,1.0,1.0,3.0
4,4,4,17,1,1,2.0,39.0,4.0,4.0,4.0
5,5,5,19,-1,0,,,,,
6,6,6,21,-1,0,,,,,
7,7,6,25,-1,0,,,,,
8,8,7,24,-1,0,,,,,
9,9,8,28,-1,0,,,,,
10,10,10,25,-1,0,,,,,
11,11,10,19,-1,0,,,,,
12,12,10,28,-1,0,,,,,
13,13,10,23,-1,0,,,,,
14,14,11,26,-1,0,,,,,
15,15,14,32,-1,0,,,,,
16,16,16,30,-1,0,,,,,
17,17,16,33,-1,0,,,,,
18,18,18,41,-1,0,,,,,
19,19,19,43,-1,0,,,,,
20,20,19,31,-1,0,,,,,
21,21,19,31,-1,0,,,,,
22,22,20,31,-1,0,,,,,
23,23,22,36,-1,0,,,,,
24,24,22,40,-1,0,,,,,
25,25,23,36,-1,0,,,,,
26,26,23,34,-1,0,,,,,
27,27,23,37,-1,0,,,,,
28,28,24,43,-1,0,,,,,
29,29,25,35,-1,0,,,,,
30,30,25,38,-1,0,,,,,
31,31,26,39,-1,0,,,,,
32,32,27,39,-1,0,,,,,
33,33,30,39,-1,0,,,,,
34,34,30,41,-1,0,,,,,
35,35,31,50,-1,0,,,,,
36,36,32,44,-1,0,,,,,
37,37,32,39,-1,0,,,,,
38,38,34,47,-1,0,,,,,
39,39,35,50,-1,0,,,,,
40,40,35,48,-1,0,,,,,
41,41,36,56,-1,0,,,,,
42,42,37,48,-1,0,,,,,
43,43,38,58,-1,0,,,,,
44,44,39,53,-1,0,,,,,
45,45,40,57,-1,0,,,,,
46,46,42,57,-1,0,,,,,
47,47,42,53,-1,0,,,,,
48,48,42,50,-1,0,,,,,
49,49,44,63,-1,0,,,,,
50,50,45,63,-1,0,,,,,
51,51,45,61,-1,0,,,,,
52,52,46,60,-1,0,,,,,
53,53,46,59,-1,0,,,,,
54,54,46,63,-1,0,,,,,
55,55,47,61,-1,0,,,,,
56,56,47,60,-1,0,,,,,
57,57,48,61,-1,0,,,,,
58,58,48,67,-1,0,,,,,
59,59,49,64,-1,0,,,,,
60,60,50,61,-1,0,,,,,
61,61,53,69,-1,0,,,,,
62,62,53,66,-1,0,,,,,
63,63,54,71,-1,0,,,,,
64,64,54,67,-1,0,,,,,
65,65,55,66,-1,0,,,,,
66,66,56,70,1,1,2.0,53.0,56.0,56.0,0.0
67,67,57,68,-1,0,,,,,
68,68,58,69,-1,0,,,,,
69,69,60,72,1,1,2.0,121.0,60.0,60.0,2.0
70,70,61,76,-1,0,,,,,
71,71,61,75,-1,0,,,,,
72,72,61,80,-1,0,,,,,
73,73,61,76,-1,0,,,,,
74,74,62,72,-1,0,,,,,
75,75,62,79,-1,0,,,,,
76,76,63,74,-1,0,,,,,
77,77,63,72,-1,0,,,,,
78,78,65,78,-1,0,,,,,
79,79,65,81,-1,0,,,,,
80,80,68,80,-1,0,,,,,
