,req_index,order_time,desired_time,admit_outcome,predict_with_uncmtd,toa_current_inv,toa_future_exp_return,toa_uncmtd_cnt,toa_occupied_by_pred_same_period,toa_inv_ref,commit_outcome,realized_cycle_duration,commit_time,finish_time,commit_item,fail_time
0,0,5,20,1,1,5,0,0,0,5,2.0,48.0,19.0,19.0,2.0,
1,1,5,23,1,1,5,0,1,0,4,2.0,17.0,22.0,22.0,4.0,
2,2,6,14,1,1,5,0,0,0,5,2.0,41.0,13.0,13.0,0.0,
3,3,8,19,1,1,5,0,1,0,4,2.0,42.0,18.0,18.0,1.0,
4,4,10,26,1,1,5,0,4,0,1,-2.0,36.0,,,,26.0
5,5,11,20,1,1,5,0,2,0,3,2.0,30.0,19.0,19.0,3.0,
6,6,12,24,-1,1,5,0,5,0,0,,,,,,
7,7,14,31,-1,1,4,0,5,0,-1,,,,,,
8,8,16,29,-1,1,4,0,5,0,-1,,,,,,
9,9,17,35,-1,1,4,0,5,0,-1,,,,,,
10,10,19,31,-1,1,3,0,4,0,-1,,,,,,
11,11,19,32,-1,1,3,0,4,0,-1,,,,,,
12,12,19,29,-1,1,3,0,4,0,-1,,,,,,
13,13,22,39,-1,1,1,0,2,0,-1,,,,,,
14,14,23,42,-1,1,0,0,1,0,-1,,,,,,
15,15,23,34,-1,1,0,0,1,0,-1,,,,,,
16,16,23,35,-1,1,0,0,1,0,-1,,,,,,
17,17,24,39,-1,1,0,0,1,0,-1,,,,,,
18,18,24,34,-1,1,0,0,1,0,-1,,,,,,
19,19,25,33,-1,1,0,0,1,0,-1,,,,,,
20,20,26,38,-1,1,0,0,1,0,-1,,,,,,
21,21,26,39,-1,1,0,0,1,0,-1,,,,,,
22,22,26,40,-1,1,0,0,1,0,-1,,,,,,
23,23,27,41,-1,1,0,0,0,0,0,,,,,,
24,24,27,40,-1,1,0,0,0,0,0,,,,,,
25,25,27,40,-1,1,0,0,0,0,0,,,,,,
26,26,27,39,-1,1,0,0,0,0,0,,,,,,
27,27,29,40,-1,1,0,0,0,0,0,,,,,,
28,28,30,46,-1,1,0,0,0,0,0,,,,,,
29,29,30,41,-1,1,0,0,0,0,0,,,,,,
30,30,30,44,-1,1,0,0,0,0,0,,,,,,
31,31,30,40,-1,1,0,0,0,0,0,,,,,,
32,32,31,48,-1,1,0,0,0,0,0,,,,,,
33,33,32,49,-1,1,0,0,0,0,0,,,,,,
34,34,34,44,-1,1,0,0,0,0,0,,,,,,
35,35,34,50,-1,1,0,0,0,0,0,,,,,,
36,36,34,53,1,1,0,1,0,0,1,2.0,33.0,52.0,52.0,3.0,
37,37,34,47,-1,1,0,0,0,0,0,,,,,,
38,38,35,51,-1,1,0,0,0,0,0,,,,,,
39,39,36,55,-1,1,0,1,1,0,0,,,,,,
40,40,36,42,-1,1,0,0,0,0,0,,,,,,
41,41,37,49,-1,1,0,0,0,0,0,,,,,,
42,42,38,46,-1,1,0,0,0,0,0,,,,,,
43,43,39,50,-1,1,0,0,0,0,0,,,,,,
44,44,39,46,-1,1,0,0,0,0,0,,,,,,
45,45,41,50,1,1,1,0,0,0,1,2.0,75.0,49.0,49.0,4.0,
46,46,41,56,-1,1,1,1,2,0,0,,,,,,
47,47,41,53,1,1,1,1,1,0,1,-2.0,14.0,,,,53.0
48,48,41,58,1,1,1,4,3,0,2,-2.0,43.0,,,,58.0
49,49,45,58,1,1,1,4,3,0,2,-2.0,23.0,,,,58.0
50,50,45,64,-1,1,1,4,5,0,0,,,,,,
51,51,45,55,-1,1,1,1,3,0,-1,,,,,,
52,52,46,60,-1,1,1,4,5,0,0,,,,,,
53,53,49,61,-1,1,1,4,5,0,0,,,,,,
54,54,52,69,-1,1,1,3,4,0,0,,,,,,
55,55,54,67,1,1,0,3,2,0,1,-2.0,68.0,,,,67.0
56,56,54,64,1,1,0,3,2,0,1,2.0,27.0,63.0,63.0,0.0,
57,57,56,70,-1,1,1,2,4,0,-1,,,,,,
58,58,58,70,-1,1,1,2,4,0,-1,,,,,,
59,59,59,75,1,1,1,2,2,0,1,2.0,73.0,74.0,74.0,1.0,
60,60,60,76,-1,1,1,2,3,0,0,,,,,,
61,61,60,67,1,1,1,2,1,0,2,-2.0,26.0,,,,67.0
62,62,61,67,1,1,2,1,1,0,2,-2.0,72.0,,,,67.0
63,63,62,81,-1,1,2,1,5,0,-2,,,,,,
64,64,62,74,-1,1,2,1,4,0,-1,,,,,,
65,65,66,78,-1,1,1,1,4,0,-2,,,,,,
66,66,67,79,-1,1,1,1,4,0,-2,,,,,,
67,67,68,80,1,1,2,0,1,0,1,-2.0,28.0,,,,80.0
68,68,69,85,-1,1,2,0,2,0,0,,,,,,
69,69,70,82,-1,1,2,0,2,0,0,,,,,,
70,70,71,87,-1,1,2,0,2,0,0,,,,,,
71,71,72,87,-1,1,2,0,2,0,0,,,,,,
72,72,73,87,-1,1,2,0,2,0,0,,,,,,
73,73,75,90,1,1,1,1,1,0,1,2.0,35.0,89.0,89.0,2.0,
74,74,76,87,-1,1,1,0,1,0,0,,,,,,
75,75,77,91,1,1,1,2,2,0,1,-2.0,32.0,,,,91.0
76,76,78,92,-1,1,1,2,3,0,0,,,,,,
77,77,78,86,-1,1,1,0,1,0,0,,,,,,
78,78,79,90,1,1,1,1,1,0,1,-2.0,26.0,,,,90.0
79,79,80,99,-1,1,1,2,4,0,-1,,,,,,
80,80,80,95,-1,1,1,2,4,0,-1,,,,,,
81,81,81,102,1,1,1,3,3,0,1,-2.0,22.0,,,,102.0
82,82,82,95,-1,1,1,2,3,0,0,,,,,,
83,83,82,98,-1,1,1,2,3,0,0,,,,,,
84,84,83,98,-1,1,1,2,3,0,0,,,,,,
85,85,85,100,-1,1,1,2,3,0,0,,,,,,
86,86,86,96,-1,1,2,1,3,0,0,,,,,,
87,87,86,97,-1,1,2,1,3,0,0,,,,,,
88,88,88,97,-1,1,2,1,3,0,0,,,,,,
89,89,90,104,-1,1,1,2,3,0,0,,,,,,
90,90,91,104,1,1,2,1,2,0,1,-2.0,35.0,,,,104.0
91,91,92,103,1,1,2,1,1,0,2,-2.0,42.0,,,,103.0
92,92,94,107,-1,1,2,1,3,0,0,,,,,,
93,93,95,109,-1,1,2,1,3,0,0,,,,,,
94,94,96,112,-1,1,2,1,3,0,0,,,,,,
95,95,99,114,1,1,2,2,3,0,1,-2.0,40.0,,,,114.0
96,96,100,115,-1,1,2,2,4,0,0,,,,,,
97,97,102,117,-1,1,2,2,4,0,0,,,,,,
98,98,102,115,-1,1,2,2,4,0,0,,,,,,
99,99,103,115,1,1,2,2,3,0,1,-2.0,23.0,,,,115.0
