,req_index,order_time,desired_time,admit_outcome,toa_current_inv,commit_outcome,realized_cycle_duration,commit_time,finish_time,commit_item
0,0,0,14,1,5,2.0,30.0,0.0,0.0,0.0
1,1,1,14,1,4,2.0,65.0,1.0,1.0,1.0
2,2,2,14,1,3,2.0,41.0,2.0,2.0,2.0
3,3,4,17,1,2,2.0,53.0,4.0,4.0,3.0
4,4,5,18,1,1,2.0,16.0,5.0,5.0,4.0
5,5,7,25,-1,0,,,,,
6,6,7,20,-1,0,,,,,
7,7,8,23,-1,0,,,,,
8,8,8,17,-1,0,,,,,
9,9,9,28,-1,0,,,,,
10,10,10,26,-1,0,,,,,
11,11,13,34,-1,0,,,,,
12,12,13,25,-1,0,,,,,
13,13,14,34,-1,0,,,,,
14,14,16,27,-1,0,,,,,
15,15,16,32,-1,0,,,,,
16,16,17,26,-1,0,,,,,
17,17,18,33,-1,0,,,,,
18,18,19,28,-1,0,,,,,
19,19,19,32,-1,0,,,,,
20,20,20,32,-1,0,,,,,
21,21,20,28,-1,0,,,,,
22,22,21,37,-1,0,,,,,
23,23,21,35,-1,0,,,,,
24,24,22,40,-1,0,,,,,
25,25,23,37,-1,0,,,,,
26,26,26,43,-1,0,,,,,
27,27,26,38,-1,0,,,,,
28,28,27,39,-1,0,,,,,
29,29,28,40,-1,0,,,,,
30,30,29,42,-1,0,,,,,
31,31,29,47,-1,0,,,,,
32,32,30,44,-1,0,,,,,
33,33,31,44,-1,0,,,,,
34,34,32,47,-1,0,,,,,
35,35,32,43,-1,0,,,,,
36,36,33,52,-1,0,,,,,
37,37,33,47,-1,0,,,,,
38,38,34,51,1,1,2.0,41.0,34.0,34.0,4.0
39,39,34,43,-1,0,,,,,
40,40,36,46,-1,0,,,,,
41,41,37,51,-1,0,,,,,
42,42,38,51,-1,0,,,,,
43,43,39,52,-1,0,,,,,
44,44,39,53,-1,0,,,,,
45,45,39,53,-1,0,,,,,
46,46,40,52,-1,0,,,,,
47,47,41,55,-1,0,,,,,
48,48,43,59,-1,0,,,,,
49,49,43,61,-1,0,,,,,
50,50,45,62,-1,0,,,,,
51,51,46,54,-1,0,,,,,
52,52,48,62,-1,0,,,,,
53,53,49,64,-1,0,,,,,
54,54,50,63,-1,0,,,,,
55,55,50,59,-1,0,,,,,
56,56,51,66,-1,0,,,,,
57,57,51,66,-1,0,,,,,
58,58,52,68,-1,0,,,,,
59,59,53,66,-1,0,,,,,
60,60,54,61,-1,0,,,,,
61,61,54,66,-1,0,,,,,
62,62,54,67,-1,0,,,,,
63,63,56,71,1,1,2.0,50.0,56.0,56.0,0.0
64,64,57,71,-1,0,,,,,
65,65,57,71,-1,0,,,,,
66,66,58,66,-1,0,,,,,
67,67,58,78,-1,0,,,,,
68,68,59,75,-1,0,,,,,
69,69,60,74,-1,0,,,,,
70,70,64,76,-1,0,,,,,
71,71,66,79,-1,0,,,,,
72,72,66,79,-1,0,,,,,
73,73,68,82,-1,0,,,,,
74,74,68,83,-1,0,,,,,
75,75,68,80,-1,0,,,,,
76,76,70,82,1,1,2.0,50.0,70.0,70.0,2.0
77,77,70,85,-1,0,,,,,
78,78,72,80,-1,0,,,,,
79,79,72,90,-1,0,,,,,
80,80,74,87,-1,0,,,,,
81,81,74,91,-1,0,,,,,
82,82,74,90,-1,0,,,,,
83,83,75,91,-1,0,,,,,
84,84,78,87,-1,0,,,,,
85,85,79,99,1,1,2.0,39.0,79.0,79.0,1.0
86,86,81,96,-1,0,,,,,
87,87,81,96,-1,0,,,,,
88,88,84,97,-1,0,,,,,
89,89,84,95,-1,0,,,,,
90,90,86,95,-1,0,,,,,
91,91,86,100,-1,0,,,,,
92,92,89,112,-1,0,,,,,
93,93,90,104,-1,0,,,,,
94,94,90,105,-1,0,,,,,
95,95,91,106,-1,0,,,,,
96,96,93,112,1,1,2.0,40.0,93.0,93.0,3.0
97,97,93,108,-1,0,,,,,
98,98,96,110,-1,0,,,,,
99,99,97,110,-1,0,,,,,
100,100,97,107,-1,0,,,,,
101,101,99,110,-1,0,,,,,
102,102,101,118,-1,0,,,,,
103,103,101,112,-1,0,,,,,
104,104,101,113,-1,0,,,,,
105,105,103,114,-1,0,,,,,
106,106,104,121,-1,0,,,,,
107,107,105,119,-1,0,,,,,
108,108,105,113,-1,0,,,,,
109,109,105,117,-1,0,,,,,
110,110,106,116,-1,0,,,,,
111,111,106,121,-1,0,,,,,
112,112,107,120,-1,0,,,,,
