,req_index,order_time,desired_time,admit_outcome,toa_current_inv,commit_outcome,realized_cycle_duration,commit_time,finish_time,commit_item
0,0,2,14,1,5,2.0,36.0,2.0,2.0,0.0
1,1,2,15,1,4,2.0,34.0,2.0,2.0,1.0
2,2,4,19,1,3,2.0,19.0,4.0,4.0,2.0
3,3,4,14,1,2,2.0,30.0,4.0,4.0,3.0
4,4,8,21,1,1,2.0,29.0,8.0,8.0,4.0
5,5,8,20,-1,0,,,,,
6,6,9,29,-1,0,,,,,
7,7,12,32,-1,0,,,,,
8,8,12,28,-1,0,,,,,
9,9,14,28,-1,0,,,,,
10,10,15,26,-1,0,,,,,
11,11,16,35,-1,0,,,,,
12,12,16,35,-1,0,,,,,
13,13,16,34,-1,0,,,,,
14,14,22,31,-1,0,,,,,
15,15,23,39,-1,0,,,,,
16,16,23,33,-1,0,,,,,
17,17,24,42,-1,0,,,,,
18,18,24,39,-1,0,,,,,
19,19,26,48,-1,0,,,,,
20,20,26,39,-1,0,,,,,
21,21,30,45,-1,0,,,,,
22,22,32,48,-1,0,,,,,
23,23,34,46,-1,0,,,,,
24,24,36,51,-1,0,,,,,
25,25,36,53,-1,0,,,,,
26,26,37,51,-1,0,,,,,
27,27,37,50,-1,0,,,,,
28,28,38,52,1,1,2.0,19.0,38.0,38.0,2.0
29,29,38,57,-1,0,,,,,
30,30,39,64,-1,0,,,,,
31,31,40,55,-1,0,,,,,
32,32,41,58,-1,0,,,,,
33,33,41,62,-1,0,,,,,
34,34,42,53,-1,0,,,,,
35,35,42,50,-1,0,,,,,
36,36,42,58,-1,0,,,,,
37,37,42,57,-1,0,,,,,
38,38,43,53,-1,0,,,,,
39,39,44,58,1,1,2.0,27.0,44.0,44.0,3.0
40,40,45,59,-1,0,,,,,
41,41,45,57,-1,0,,,,,
42,42,46,58,-1,0,,,,,
43,43,46,57,-1,0,,,,,
44,44,47,62,-1,0,,,,,
45,45,48,59,-1,0,,,,,
46,46,49,65,1,1,2.0,43.0,49.0,49.0,1.0
47,47,50,67,1,1,2.0,50.0,50.0,50.0,0.0
48,48,51,67,-1,0,,,,,
49,49,54,66,-1,0,,,,,
50,50,56,69,-1,0,,,,,
51,51,57,71,-1,0,,,,,
52,52,57,70,-1,0,,,,,
53,53,61,75,-1,0,,,,,
54,54,62,78,-1,0,,,,,
55,55,64,76,-1,0,,,,,
56,56,66,77,-1,0,,,,,
57,57,67,84,-1,0,,,,,
58,58,68,84,-1,0,,,,,
59,59,71,80,1,1,2.0,50.0,71.0,71.0,2.0
60,60,72,87,-1,0,,,,,
61,61,72,82,-1,0,,,,,
62,62,74,88,-1,0,,,,,
63,63,75,87,-1,0,,,,,
64,64,76,93,-1,0,,,,,
65,65,76,86,-1,0,,,,,
66,66,77,95,-1,0,,,,,
67,67,78,91,-1,0,,,,,
68,68,78,88,-1,0,,,,,
69,69,78,92,-1,0,,,,,
70,70,79,89,-1,0,,,,,
71,71,80,96,-1,0,,,,,
72,72,81,94,-1,0,,,,,
73,73,81,94,-1,0,,,,,
74,74,82,92,-1,0,,,,,
75,75,82,93,-1,0,,,,,
76,76,85,99,1,1,2.0,30.0,85.0,85.0,3.0
77,77,85,95,-1,0,,,,,
78,78,89,103,-1,0,,,,,
79,79,89,108,-1,0,,,,,
80,80,90,103,-1,0,,,,,
81,81,90,101,-1,0,,,,,
82,82,90,107,-1,0,,,,,
83,83,91,106,-1,0,,,,,
84,84,91,106,-1,0,,,,,
85,85,91,101,-1,0,,,,,
86,86,92,105,-1,0,,,,,
87,87,93,107,-1,0,,,,,
88,88,94,107,-1,0,,,,,
89,89,95,106,-1,0,,,,,
90,90,95,107,-1,0,,,,,
91,91,96,107,-1,0,,,,,
92,92,96,112,-1,0,,,,,
93,93,96,106,-1,0,,,,,
94,94,97,109,-1,0,,,,,
95,95,102,115,-1,0,,,,,
96,96,103,111,-1,0,,,,,
97,97,103,114,-1,0,,,,,
98,98,108,119,1,1,2.0,17.0,108.0,108.0,1.0
99,99,108,124,-1,0,,,,,
100,100,109,121,-1,0,,,,,
101,101,110,126,-1,0,,,,,
102,102,110,123,-1,0,,,,,
103,103,111,126,-1,0,,,,,
104,104,112,127,-1,0,,,,,
105,105,114,126,-1,0,,,,,
106,106,115,128,-1,0,,,,,
107,107,115,130,-1,0,,,,,
108,108,116,131,-1,0,,,,,
109,109,118,133,-1,0,,,,,
110,110,119,128,-1,0,,,,,
111,111,120,138,-1,0,,,,,
112,112,120,138,-1,0,,,,,
113,113,122,133,-1,0,,,,,
114,114,122,135,-1,0,,,,,
115,115,123,141,-1,0,,,,,
116,116,124,138,-1,0,,,,,
117,117,125,138,-1,0,,,,,
118,118,125,141,-1,0,,,,,
119,119,127,138,-1,0,,,,,
120,120,129,147,1,1,2.0,40.0,129.0,129.0,0.0
121,121,129,136,-1,0,,,,,
122,122,130,139,1,1,2.0,20.0,130.0,130.0,2.0
123,123,131,144,-1,0,,,,,
124,124,133,145,-1,0,,,,,
125,125,133,147,-1,0,,,,,
126,126,135,146,-1,0,,,,,
127,127,136,151,1,1,2.0,46.0,136.0,136.0,1.0
128,128,137,151,-1,0,,,,,
129,129,138,155,-1,0,,,,,
130,130,138,150,-1,0,,,,,
131,131,141,152,-1,0,,,,,
132,132,142,156,-1,0,,,,,
133,133,143,155,-1,0,,,,,
134,134,145,159,-1,0,,,,,
135,135,149,159,-1,0,,,,,
136,136,154,169,-1,0,,,,,
137,137,155,172,-1,0,,,,,
138,138,157,175,-1,0,,,,,
139,139,158,177,-1,0,,,,,
140,140,158,173,-1,0,,,,,
141,141,158,172,-1,0,,,,,
142,142,158,174,-1,0,,,,,
143,143,160,175,1,1,2.0,60.0,160.0,160.0,2.0
144,144,161,172,-1,0,,,,,
145,145,163,176,-1,0,,,,,
146,146,163,174,-1,0,,,,,
147,147,164,178,-1,0,,,,,
148,148,165,179,-1,0,,,,,
149,149,165,179,-1,0,,,,,
150,152,168,179,-1,0,,,,,
151,158,172,180,-1,0,,,,,
