,req_index,order_time,desired_time,admit_outcome,toa_current_inv,commit_outcome,realized_cycle_duration,commit_time,finish_time,commit_item
0,0,1,14,1,5,2.0,34.0,1.0,1.0,0.0
1,1,2,13,1,4,2.0,62.0,2.0,2.0,1.0
2,2,3,18,1,3,2.0,49.0,3.0,3.0,2.0
3,3,6,16,1,2,2.0,87.0,6.0,6.0,3.0
4,4,7,20,1,1,2.0,20.0,7.0,7.0,4.0
5,5,8,23,-1,0,,,,,
6,6,9,26,-1,0,,,,,
7,7,11,22,-1,0,,,,,
8,8,13,20,-1,0,,,,,
9,9,13,24,-1,0,,,,,
10,10,14,30,-1,0,,,,,
11,11,16,22,-1,0,,,,,
12,12,17,33,-1,0,,,,,
13,13,19,30,-1,0,,,,,
14,14,20,37,-1,0,,,,,
15,15,21,38,-1,0,,,,,
16,16,22,41,-1,0,,,,,
17,17,22,36,-1,0,,,,,
18,18,24,38,-1,0,,,,,
19,19,25,42,-1,0,,,,,
20,20,27,41,-1,0,,,,,
21,21,27,44,-1,0,,,,,
22,22,27,42,-1,0,,,,,
23,23,28,41,-1,0,,,,,
24,24,29,46,-1,0,,,,,
25,25,32,47,-1,0,,,,,
26,26,33,49,-1,0,,,,,
27,27,33,42,-1,0,,,,,
28,28,34,45,-1,0,,,,,
29,29,34,47,-1,0,,,,,
30,30,36,52,-1,0,,,,,
31,31,37,51,-1,0,,,,,
32,32,40,52,1,1,2.0,59.0,40.0,40.0,4.0
33,33,40,58,-1,0,,,,,
34,34,41,49,-1,0,,,,,
35,35,42,54,-1,0,,,,,
36,36,42,53,-1,0,,,,,
37,37,43,56,-1,0,,,,,
38,38,44,62,-1,0,,,,,
39,39,48,64,-1,0,,,,,
40,40,49,60,-1,0,,,,,
41,41,49,60,-1,0,,,,,
42,42,51,60,-1,0,,,,,
43,43,51,62,-1,0,,,,,
44,44,52,63,-1,0,,,,,
45,45,54,66,-1,0,,,,,
46,46,55,70,-1,0,,,,,
47,47,57,73,-1,0,,,,,
48,48,57,67,-1,0,,,,,
49,49,58,72,-1,0,,,,,
50,50,59,76,-1,0,,,,,
51,51,63,76,-1,0,,,,,
52,52,64,78,-1,0,,,,,
53,53,65,79,-1,0,,,,,
54,54,66,80,-1,0,,,,,
55,55,66,84,-1,0,,,,,
56,56,67,79,1,1,2.0,48.0,67.0,67.0,0.0
57,57,67,81,-1,0,,,,,
58,58,67,69,-1,0,,,,,
59,59,68,77,-1,0,,,,,
60,60,68,80,-1,0,,,,,
61,61,68,83,-1,0,,,,,
62,62,72,80,-1,0,,,,,
63,63,72,85,-1,0,,,,,
64,64,72,88,-1,0,,,,,
65,65,73,79,-1,0,,,,,
66,66,73,90,-1,0,,,,,
67,67,74,90,-1,0,,,,,
68,68,74,90,-1,0,,,,,
69,69,74,90,-1,0,,,,,
70,70,77,96,1,1,2.0,19.0,77.0,77.0,1.0
71,71,78,93,-1,0,,,,,
72,72,79,90,-1,0,,,,,
73,73,79,95,-1,0,,,,,
74,74,81,94,-1,0,,,,,
75,75,82,100,-1,0,,,,,
76,76,85,102,-1,0,,,,,
77,77,86,102,-1,0,,,,,
78,78,86,96,-1,0,,,,,
79,79,86,99,-1,0,,,,,
80,80,87,100,-1,0,,,,,
81,81,87,105,-1,0,,,,,
82,82,87,105,-1,0,,,,,
83,83,88,102,-1,0,,,,,
84,84,90,104,-1,0,,,,,
85,85,90,99,-1,0,,,,,
86,86,90,101,-1,0,,,,,
87,87,90,105,-1,0,,,,,
88,88,93,107,-1,0,,,,,
89,89,93,102,-1,0,,,,,
90,90,93,103,-1,0,,,,,
91,91,96,106,-1,0,,,,,
92,92,96,108,-1,0,,,,,
93,93,97,112,-1,0,,,,,
94,94,97,114,-1,0,,,,,
95,95,99,115,-1,0,,,,,
96,96,99,112,-1,0,,,,,
97,97,100,109,-1,0,,,,,
98,98,100,109,-1,0,,,,,
99,99,100,111,-1,0,,,,,
100,100,101,116,-1,0,,,,,
101,101,101,113,-1,0,,,,,
102,102,101,116,-1,0,,,,,
103,103,102,111,-1,0,,,,,
104,104,104,119,1,1,2.0,17.0,104.0,104.0,2.0
105,105,104,116,-1,0,,,,,
106,106,105,116,-1,0,,,,,
107,107,105,125,-1,0,,,,,
108,108,105,122,-1,0,,,,,
109,109,107,117,-1,0,,,,,
110,110,108,121,-1,0,,,,,
111,111,109,118,-1,0,,,,,
112,112,111,130,1,1,2.0,26.0,111.0,111.0,3.0
113,113,112,129,-1,0,,,,,
114,114,119,134,1,1,2.0,52.0,119.0,119.0,1.0
115,115,119,138,-1,0,,,,,
116,116,119,133,-1,0,,,,,
117,117,120,130,-1,0,,,,,
118,118,121,134,-1,0,,,,,
119,119,121,141,-1,0,,,,,
120,120,122,130,-1,0,,,,,
121,121,122,135,-1,0,,,,,
122,122,123,135,-1,0,,,,,
123,123,123,133,-1,0,,,,,
124,124,125,140,-1,0,,,,,
125,125,125,135,-1,0,,,,,
126,126,129,138,-1,0,,,,,
127,127,131,142,-1,0,,,,,
128,128,131,142,-1,0,,,,,
129,129,132,149,-1,0,,,,,
130,130,132,152,-1,0,,,,,
131,131,133,143,-1,0,,,,,
132,132,133,145,-1,0,,,,,
133,133,133,144,-1,0,,,,,
134,134,135,150,-1,0,,,,,
135,135,135,144,-1,0,,,,,
136,136,136,148,1,1,2.0,44.0,136.0,136.0,0.0
137,137,137,157,-1,0,,,,,
138,138,138,161,-1,0,,,,,
139,139,138,153,-1,0,,,,,
140,140,139,155,-1,0,,,,,
141,141,140,157,-1,0,,,,,
142,142,142,154,-1,0,,,,,
143,143,144,160,-1,0,,,,,
144,144,144,157,-1,0,,,,,
145,145,144,162,-1,0,,,,,
146,146,147,165,-1,0,,,,,
147,147,147,164,-1,0,,,,,
148,148,148,157,-1,0,,,,,
149,149,150,164,-1,0,,,,,
150,150,151,163,-1,0,,,,,
151,151,153,164,-1,0,,,,,
152,152,154,173,-1,0,,,,,
153,153,156,166,1,1,2.0,37.0,156.0,156.0,2.0
154,154,156,168,-1,0,,,,,
155,155,156,168,-1,0,,,,,
156,156,159,171,-1,0,,,,,
157,157,159,168,-1,0,,,,,
158,158,159,171,-1,0,,,,,
159,160,161,176,-1,0,,,,,
160,161,162,174,-1,0,,,,,
161,162,163,177,-1,0,,,,,
162,163,165,182,-1,0,,,,,
163,165,166,182,-1,0,,,,,
164,166,166,180,-1,0,,,,,
165,167,167,178,-1,0,,,,,
166,168,167,180,-1,0,,,,,
167,172,171,180,-1,0,,,,,
