,req_index,order_time,desired_time,admit_outcome,predict_with_uncmtd,toa_current_inv,toa_future_exp_return,toa_uncmtd_cnt,toa_occupied_by_pred_same_period,toa_inv_ref,commit_outcome,realized_cycle_duration,fail_time,commit_time,finish_time,commit_item
0,0,1,22,1,1,5,0,0,0,5,-2.0,32.0,22.0,,,
1,1,1,15,1,1,5,0,0,0,5,2.0,52.0,,14.0,14.0,2.0
2,2,2,19,1,1,5,0,1,0,4,2.0,42.0,,18.0,18.0,4.0
3,3,3,12,1,1,5,0,0,0,5,2.0,37.0,,11.0,11.0,0.0
4,4,3,17,1,1,5,0,2,0,3,2.0,89.0,,16.0,16.0,3.0
5,5,3,12,1,1,5,0,0,1,4,2.0,29.0,,11.0,11.0,1.0
6,6,5,23,-1,1,5,0,6,0,-1,,,,,,
7,7,7,20,-1,1,5,0,5,0,0,,,,,,
8,8,10,19,1,1,5,0,4,0,1,-2.0,35.0,19.0,,,
9,9,11,20,-1,1,5,0,6,0,-1,,,,,,
10,10,14,28,-1,1,3,0,5,0,-2,,,,,,
11,11,15,24,-1,1,2,0,4,0,-2,,,,,,
12,12,15,26,-1,1,2,0,4,0,-2,,,,,,
13,13,17,30,-1,1,1,0,3,0,-2,,,,,,
14,14,17,31,-1,1,1,0,3,0,-2,,,,,,
15,15,17,32,-1,1,1,0,3,0,-2,,,,,,
16,16,21,36,-1,1,0,0,1,0,-1,,,,,,
17,17,22,35,-1,1,0,0,1,0,-1,,,,,,
18,18,23,38,-1,1,0,0,0,0,0,,,,,,
19,19,24,35,-1,1,0,0,0,0,0,,,,,,
20,20,25,37,-1,1,0,0,0,0,0,,,,,,
21,21,26,43,-1,1,0,0,0,0,0,,,,,,
22,22,26,37,-1,1,0,0,0,0,0,,,,,,
23,23,28,39,-1,1,0,0,0,0,0,,,,,,
24,24,29,41,-1,1,0,0,0,0,0,,,,,,
25,25,29,43,-1,1,0,0,0,0,0,,,,,,
26,26,30,35,-1,1,0,0,0,0,0,,,,,,
27,27,32,40,-1,1,0,0,0,0,0,,,,,,
28,28,33,47,-1,1,0,0,0,0,0,,,,,,
29,29,33,44,-1,1,0,0,0,0,0,,,,,,
30,30,33,48,-1,1,0,0,0,0,0,,,,,,
31,31,33,50,1,1,0,2,0,0,2,2.0,45.0,,49.0,49.0,0.0
32,32,33,48,-1,1,0,0,0,0,0,,,,,,
33,33,34,50,1,1,0,2,0,0,2,-2.0,36.0,50.0,,,
34,34,34,47,-1,1,0,0,0,0,0,,,,,,
35,35,37,46,-1,1,0,0,0,0,0,,,,,,
36,36,37,50,1,1,0,2,0,0,2,-2.0,43.0,50.0,,,
37,37,38,51,-1,1,0,2,3,0,-1,,,,,,
38,38,39,54,-1,1,0,3,3,0,0,,,,,,
39,39,40,50,1,1,0,2,0,0,2,-2.0,72.0,50.0,,,
40,40,41,53,-1,1,1,2,4,0,-1,,,,,,
41,41,42,59,1,1,1,4,4,0,1,-2.0,38.0,59.0,,,
42,42,43,55,-1,1,1,3,4,0,0,,,,,,
43,43,45,58,1,1,1,4,4,0,1,-2.0,24.0,58.0,,,
44,44,45,64,-1,1,1,4,6,0,-1,,,,,,
45,45,46,58,1,1,1,4,4,0,1,-2.0,44.0,58.0,,,
46,46,46,57,1,1,1,4,4,0,1,-2.0,36.0,57.0,,,
47,47,47,63,-1,1,1,4,8,0,-3,,,,,,
48,48,49,63,-1,1,2,3,8,0,-3,,,,,,
49,49,49,64,-1,1,2,3,8,0,-3,,,,,,
