,req_index,order_time,desired_time,admit_outcome,toa_current_inv,commit_outcome,realized_cycle_duration,commit_time,finish_time,commit_item
0,0,0,18,1,5,2.0,61.0,0.0,0.0,0.0
1,1,1,19,1,4,2.0,51.0,1.0,1.0,1.0
2,2,1,12,1,3,2.0,20.0,1.0,1.0,2.0
3,3,1,13,1,2,2.0,21.0,1.0,1.0,3.0
4,4,1,10,1,1,2.0,37.0,1.0,1.0,4.0
5,5,3,20,-1,0,,,,,
6,6,3,16,-1,0,,,,,
7,7,8,21,-1,0,,,,,
8,8,9,21,-1,0,,,,,
9,9,10,20,-1,0,,,,,
10,10,10,24,-1,0,,,,,
11,11,12,24,-1,0,,,,,
12,12,12,26,-1,0,,,,,
13,13,12,23,-1,0,,,,,
14,14,14,28,-1,0,,,,,
15,15,15,34,-1,0,,,,,
16,16,19,32,-1,0,,,,,
17,17,20,40,-1,0,,,,,
18,18,23,32,-1,0,,,,,
19,19,23,37,-1,0,,,,,
20,20,24,39,-1,0,,,,,
21,21,24,44,-1,0,,,,,
22,22,25,44,-1,0,,,,,
23,23,25,39,-1,0,,,,,
24,24,26,42,-1,0,,,,,
25,25,29,50,-1,0,,,,,
26,26,30,46,-1,0,,,,,
27,27,31,51,-1,0,,,,,
28,28,32,51,1,1,2.0,37.0,32.0,32.0,2.0
29,29,32,46,-1,0,,,,,
30,30,33,48,-1,0,,,,,
31,31,33,44,-1,0,,,,,
32,32,34,47,1,1,2.0,48.0,34.0,34.0,3.0
33,33,36,54,-1,0,,,,,
34,34,38,53,-1,0,,,,,
35,35,39,51,-1,0,,,,,
36,36,39,49,-1,0,,,,,
37,37,40,52,-1,0,,,,,
38,38,41,51,-1,0,,,,,
39,39,41,53,-1,0,,,,,
40,40,42,55,-1,0,,,,,
41,41,42,51,-1,0,,,,,
42,42,43,60,-1,0,,,,,
43,43,44,57,-1,0,,,,,
44,44,45,59,-1,0,,,,,
45,45,46,61,-1,0,,,,,
46,46,46,56,-1,0,,,,,
47,47,48,58,1,1,2.0,34.0,48.0,48.0,4.0
48,48,48,59,-1,0,,,,,
49,49,49,70,-1,0,,,,,
50,50,49,59,-1,0,,,,,
51,51,50,63,-1,0,,,,,
52,52,50,68,-1,0,,,,,
53,53,52,67,-1,0,,,,,
54,54,53,61,-1,0,,,,,
55,55,54,72,-1,0,,,,,
56,56,55,68,-1,0,,,,,
57,57,55,66,-1,0,,,,,
58,58,56,69,-1,0,,,,,
59,59,56,71,-1,0,,,,,
60,60,57,65,-1,0,,,,,
61,61,57,72,-1,0,,,,,
62,62,59,74,-1,0,,,,,
63,63,59,71,-1,0,,,,,
64,64,59,72,-1,0,,,,,
65,65,59,70,-1,0,,,,,
66,66,60,68,-1,0,,,,,
67,67,62,77,-1,0,,,,,
68,68,63,76,-1,0,,,,,
69,69,64,81,-1,0,,,,,
70,70,65,76,-1,0,,,,,
71,71,65,78,-1,0,,,,,
72,72,65,80,-1,0,,,,,
73,73,66,75,-1,0,,,,,
74,74,69,82,-1,0,,,,,
75,75,69,85,-1,0,,,,,
76,76,71,83,1,1,2.0,19.0,71.0,71.0,1.0
77,77,72,85,-1,0,,,,,
78,78,73,88,-1,0,,,,,
79,79,73,86,-1,0,,,,,
80,80,76,94,-1,0,,,,,
81,81,78,96,-1,0,,,,,
82,82,79,96,-1,0,,,,,
83,83,79,92,-1,0,,,,,
84,84,80,91,-1,0,,,,,
85,85,80,95,-1,0,,,,,
86,86,81,94,-1,0,,,,,
87,87,81,95,-1,0,,,,,
88,88,82,97,-1,0,,,,,
89,89,82,101,-1,0,,,,,
90,90,82,99,-1,0,,,,,
91,91,84,94,-1,0,,,,,
92,92,85,103,-1,0,,,,,
93,93,85,100,-1,0,,,,,
94,94,86,98,-1,0,,,,,
95,95,88,104,1,1,2.0,25.0,88.0,88.0,0.0
96,96,89,103,-1,0,,,,,
97,97,90,104,-1,0,,,,,
98,98,90,105,-1,0,,,,,
99,99,91,102,-1,0,,,,,
100,100,92,105,1,1,2.0,66.0,92.0,92.0,2.0
101,101,93,106,-1,0,,,,,
102,102,94,103,-1,0,,,,,
103,103,94,110,-1,0,,,,,
104,104,94,106,-1,0,,,,,
105,105,95,109,1,1,2.0,28.0,95.0,95.0,3.0
106,106,97,116,-1,0,,,,,
107,107,97,115,-1,0,,,,,
108,108,98,110,-1,0,,,,,
109,109,98,111,-1,0,,,,,
110,110,99,114,-1,0,,,,,
111,111,102,112,1,1,2.0,34.0,102.0,102.0,1.0
112,112,102,119,-1,0,,,,,
113,113,104,116,-1,0,,,,,
114,114,105,115,-1,0,,,,,
115,115,105,121,-1,0,,,,,
116,116,106,120,-1,0,,,,,
117,117,106,114,-1,0,,,,,
118,118,108,122,-1,0,,,,,
119,119,108,124,-1,0,,,,,
120,120,108,116,-1,0,,,,,
121,121,109,124,-1,0,,,,,
122,122,109,121,-1,0,,,,,
123,123,109,122,-1,0,,,,,
124,124,109,118,-1,0,,,,,
125,125,112,126,-1,0,,,,,
