,req_index,order_time,desired_time,admit_outcome,toa_current_inv,commit_outcome,realized_cycle_duration,commit_time,finish_time,commit_item
0,0,3,12,1,5,2.0,62.0,3.0,3.0,0.0
1,1,3,16,1,4,2.0,24.0,3.0,3.0,1.0
2,2,4,17,1,3,2.0,38.0,4.0,4.0,2.0
3,3,4,15,1,2,2.0,30.0,4.0,4.0,3.0
4,4,4,18,1,1,2.0,53.0,4.0,4.0,4.0
5,5,5,19,-1,0,,,,,
6,6,5,17,-1,0,,,,,
7,7,8,24,-1,0,,,,,
8,8,9,20,-1,0,,,,,
9,9,10,21,-1,0,,,,,
10,10,10,23,-1,0,,,,,
11,11,11,24,-1,0,,,,,
12,12,12,23,-1,0,,,,,
13,13,14,33,-1,0,,,,,
14,14,15,32,-1,0,,,,,
15,15,16,26,-1,0,,,,,
16,16,17,30,-1,0,,,,,
17,17,18,30,-1,0,,,,,
18,18,18,32,-1,0,,,,,
19,19,22,34,-1,0,,,,,
20,20,22,36,-1,0,,,,,
21,21,22,41,-1,0,,,,,
22,22,24,37,-1,0,,,,,
23,23,24,39,-1,0,,,,,
24,24,24,39,-1,0,,,,,
25,25,26,42,-1,0,,,,,
26,26,27,36,-1,0,,,,,
27,27,27,43,-1,0,,,,,
28,28,28,47,-1,0,,,,,
29,29,29,44,-1,0,,,,,
30,30,30,42,-1,0,,,,,
31,31,31,46,-1,0,,,,,
32,32,32,48,-1,0,,,,,
33,33,33,48,-1,0,,,,,
34,34,34,45,-1,0,,,,,
35,35,34,54,-1,0,,,,,
36,36,34,54,-1,0,,,,,
37,37,35,48,-1,0,,,,,
38,38,36,51,-1,0,,,,,
39,39,37,46,-1,0,,,,,
40,40,38,60,-1,0,,,,,
41,41,39,56,-1,0,,,,,
42,42,39,54,-1,0,,,,,
43,43,40,56,1,1,2.0,34.0,40.0,40.0,1.0
44,44,41,52,-1,0,,,,,
45,45,41,53,-1,0,,,,,
46,46,42,54,-1,0,,,,,
47,47,42,57,-1,0,,,,,
48,48,44,54,-1,0,,,,,
49,49,44,62,-1,0,,,,,
50,50,45,59,1,1,2.0,37.0,45.0,45.0,3.0
51,51,46,59,-1,0,,,,,
52,52,47,57,-1,0,,,,,
53,53,47,62,-1,0,,,,,
54,54,48,65,-1,0,,,,,
55,55,55,70,1,1,2.0,25.0,55.0,55.0,2.0
56,56,57,69,-1,0,,,,,
57,57,57,74,-1,0,,,,,
58,58,58,69,-1,0,,,,,
59,59,58,75,-1,0,,,,,
60,60,58,73,-1,0,,,,,
61,61,59,71,-1,0,,,,,
62,62,62,76,-1,0,,,,,
63,63,63,78,-1,0,,,,,
64,64,63,75,-1,0,,,,,
65,65,65,82,-1,0,,,,,
66,66,65,78,-1,0,,,,,
67,67,65,83,-1,0,,,,,
68,68,65,82,-1,0,,,,,
69,69,66,76,-1,0,,,,,
70,70,66,81,-1,0,,,,,
71,71,68,80,-1,0,,,,,
72,72,69,85,-1,0,,,,,
73,73,70,84,-1,0,,,,,
74,74,70,84,-1,0,,,,,
75,75,71,89,1,1,2.0,83.0,71.0,71.0,4.0
76,76,73,82,-1,0,,,,,
77,77,74,88,-1,0,,,,,
78,78,75,87,-1,0,,,,,
79,79,76,84,-1,0,,,,,
80,80,78,94,-1,0,,,,,
81,81,79,93,-1,0,,,,,
82,82,80,98,-1,0,,,,,
83,83,80,95,-1,0,,,,,
84,84,80,93,-1,0,,,,,
85,85,81,102,-1,0,,,,,
86,86,82,92,-1,0,,,,,
87,87,82,91,-1,0,,,,,
88,88,82,98,-1,0,,,,,
89,89,83,96,-1,0,,,,,
90,90,83,96,-1,0,,,,,
91,91,83,101,-1,0,,,,,
92,92,86,98,-1,0,,,,,
93,93,86,104,-1,0,,,,,
94,94,87,102,-1,0,,,,,
95,95,88,100,-1,0,,,,,
96,96,88,97,-1,0,,,,,
97,97,89,101,-1,0,,,,,
98,98,91,111,1,1,2.0,67.0,91.0,91.0,0.0
99,99,91,104,-1,0,,,,,
100,100,94,105,-1,0,,,,,
101,101,95,107,1,1,2.0,42.0,95.0,95.0,1.0
102,102,95,113,-1,0,,,,,
103,103,96,107,1,1,2.0,63.0,96.0,96.0,2.0
104,104,96,112,-1,0,,,,,
105,105,97,107,-1,0,,,,,
106,106,97,117,-1,0,,,,,
107,107,97,111,-1,0,,,,,
108,108,102,111,-1,0,,,,,
109,109,103,122,-1,0,,,,,
110,110,104,117,-1,0,,,,,
111,111,107,123,-1,0,,,,,
112,112,107,121,-1,0,,,,,
113,113,108,118,-1,0,,,,,
114,114,108,118,-1,0,,,,,
115,115,108,119,-1,0,,,,,
116,116,110,121,-1,0,,,,,
117,117,111,120,-1,0,,,,,
118,118,112,121,-1,0,,,,,
119,119,114,133,-1,0,,,,,
120,120,115,125,-1,0,,,,,
121,121,116,130,-1,0,,,,,
122,122,118,128,-1,0,,,,,
123,123,118,129,-1,0,,,,,
124,124,118,134,-1,0,,,,,
125,125,122,141,-1,0,,,,,
126,126,122,136,-1,0,,,,,
127,127,122,128,-1,0,,,,,
128,128,122,147,-1,0,,,,,
129,129,124,133,-1,0,,,,,
130,130,125,138,-1,0,,,,,
131,131,126,140,-1,0,,,,,
132,132,126,144,-1,0,,,,,
133,133,127,144,-1,0,,,,,
134,134,128,143,-1,0,,,,,
135,135,128,141,-1,0,,,,,
136,136,129,146,-1,0,,,,,
137,137,130,148,-1,0,,,,,
138,138,131,149,-1,0,,,,,
139,139,131,147,-1,0,,,,,
140,140,132,142,-1,0,,,,,
141,141,133,145,-1,0,,,,,
142,142,137,151,-1,0,,,,,
143,143,138,152,-1,0,,,,,
144,144,138,155,-1,0,,,,,
145,145,141,153,-1,0,,,,,
146,146,146,161,-1,0,,,,,
147,147,147,160,-1,0,,,,,
148,148,150,166,1,1,2.0,32.0,150.0,150.0,1.0
149,149,152,163,-1,0,,,,,
150,150,156,170,-1,0,,,,,
151,151,156,166,-1,0,,,,,
152,152,157,168,-1,0,,,,,
153,153,157,176,-1,0,,,,,
154,154,159,171,-1,0,,,,,
155,155,161,179,-1,0,,,,,
156,156,161,175,-1,0,,,,,
157,157,161,169,-1,0,,,,,
158,158,161,178,-1,0,,,,,
159,159,163,172,-1,0,,,,,
160,161,167,174,-1,0,,,,,
161,162,167,182,-1,0,,,,,
162,163,168,179,-1,0,,,,,
163,164,168,181,-1,0,,,,,
