,req_index,order_time,desired_time,admit_outcome,toa_current_inv,commit_outcome,realized_cycle_duration,commit_time,finish_time,commit_item
0,0,0,13,1,5,2.0,50.0,0.0,0.0,0.0
1,1,2,16,1,4,2.0,19.0,2.0,2.0,1.0
2,2,5,16,1,3,2.0,54.0,5.0,5.0,2.0
3,3,6,16,1,2,2.0,53.0,6.0,6.0,3.0
4,4,7,19,1,1,2.0,26.0,7.0,7.0,4.0
5,5,8,28,-1,0,,,,,
6,6,9,26,-1,0,,,,,
7,7,10,23,-1,0,,,,,
8,8,12,29,-1,0,,,,,
9,9,14,23,-1,0,,,,,
10,10,14,30,-1,0,,,,,
11,11,15,35,-1,0,,,,,
12,12,15,23,-1,0,,,,,
13,13,16,31,-1,0,,,,,
14,14,16,32,-1,0,,,,,
15,15,17,28,-1,0,,,,,
16,16,19,33,-1,0,,,,,
17,17,22,34,-1,0,,,,,
18,18,25,42,-1,0,,,,,
19,19,27,46,-1,0,,,,,
20,20,27,39,-1,0,,,,,
21,21,28,38,-1,0,,,,,
22,22,28,39,-1,0,,,,,
23,23,29,42,-1,0,,,,,
24,24,30,44,-1,0,,,,,
25,25,30,41,-1,0,,,,,
26,26,32,48,-1,0,,,,,
27,27,33,46,-1,0,,,,,
28,28,35,46,1,1,2.0,82.0,35.0,35.0,1.0
29,29,35,50,-1,0,,,,,
30,30,37,49,-1,0,,,,,
31,31,37,56,-1,0,,,,,
32,32,38,54,-1,0,,,,,
33,33,39,53,-1,0,,,,,
34,34,39,51,-1,0,,,,,
35,35,40,56,-1,0,,,,,
36,36,40,47,-1,0,,,,,
37,37,41,59,-1,0,,,,,
38,38,42,53,-1,0,,,,,
39,39,43,60,-1,0,,,,,
40,40,46,60,1,1,2.0,24.0,46.0,46.0,4.0
41,41,49,67,-1,0,,,,,
42,42,51,65,-1,0,,,,,
43,43,51,65,-1,0,,,,,
44,44,55,66,-1,0,,,,,
45,45,56,68,-1,0,,,,,
46,46,58,73,-1,0,,,,,
