,req_index,order_time,desired_time,admit_outcome,predict_with_uncmtd,toa_current_inv,toa_future_exp_return,toa_uncmtd_cnt,toa_occupied_by_pred_same_period,toa_inv_ref,commit_outcome,realized_cycle_duration,commit_time,finish_time,commit_item,fail_time
0,0,1,19,1,1,5,0,0,0,5,2.0,33.0,18.0,18.0,3.0,
1,1,1,21,1,1,5,0,1,0,4,-2.0,62.0,,,,21.0
2,2,1,12,1,1,5,0,0,0,5,2.0,48.0,11.0,11.0,0.0,
3,3,1,17,1,1,5,0,1,0,4,2.0,55.0,16.0,16.0,1.0,
4,4,4,17,1,1,5,0,1,0,4,2.0,39.0,16.0,16.0,2.0,
5,5,5,19,1,1,5,0,3,0,2,2.0,38.0,18.0,18.0,4.0,
6,6,6,21,-1,1,5,0,5,0,0,,,,,,
7,7,6,25,-1,1,5,0,6,0,-1,,,,,,
8,8,7,24,-1,1,5,0,6,0,-1,,,,,,
9,9,8,28,-1,1,5,0,6,0,-1,,,,,,
10,10,10,25,-1,1,5,0,6,0,-1,,,,,,
11,11,10,19,1,1,5,0,3,0,2,-2.0,25.0,,,,19.0
12,12,10,28,-1,1,5,0,7,0,-2,,,,,,
13,13,10,23,-1,1,5,0,7,0,-2,,,,,,
14,14,11,26,-1,1,5,0,7,0,-2,,,,,,
15,15,14,32,-1,1,4,0,6,0,-2,,,,,,
16,16,16,30,-1,1,4,0,6,0,-2,,,,,,
17,17,16,33,-1,1,4,0,6,0,-2,,,,,,
18,18,18,41,-1,1,2,0,4,0,-2,,,,,,
19,19,19,43,-1,1,0,0,2,0,-2,,,,,,
20,20,19,31,-1,1,0,0,2,0,-2,,,,,,
21,21,19,31,-1,1,0,0,2,0,-2,,,,,,
22,22,20,31,-1,1,0,0,1,0,-1,,,,,,
23,23,22,36,-1,1,0,0,0,0,0,,,,,,
24,24,22,40,-1,1,0,0,0,0,0,,,,,,
25,25,23,36,-1,1,0,0,0,0,0,,,,,,
26,26,23,34,-1,1,0,0,0,0,0,,,,,,
27,27,23,37,-1,1,0,0,0,0,0,,,,,,
28,28,24,43,-1,1,0,0,0,0,0,,,,,,
29,29,25,35,-1,1,0,0,0,0,0,,,,,,
30,30,25,38,-1,1,0,0,0,0,0,,,,,,
31,31,26,39,-1,1,0,0,0,0,0,,,,,,
32,32,27,39,-1,1,0,0,0,0,0,,,,,,
33,33,30,39,-1,1,0,0,0,0,0,,,,,,
34,34,30,41,-1,1,0,0,0,0,0,,,,,,
35,35,31,50,1,1,0,1,0,0,1,-2.0,62.0,,,,50.0
36,36,32,44,-1,1,0,0,0,0,0,,,,,,
37,37,32,39,-1,1,0,0,0,0,0,,,,,,
38,38,34,47,-1,1,0,0,0,0,0,,,,,,
39,39,35,50,1,1,0,1,0,0,1,-2.0,39.0,,,,50.0
40,40,35,48,-1,1,0,0,0,0,0,,,,,,
41,41,36,56,1,1,0,3,2,0,1,2.0,32.0,55.0,55.0,3.0,
42,42,37,48,-1,1,0,0,0,0,0,,,,,,
43,43,38,58,1,1,0,5,3,0,2,-2.0,59.0,,,,58.0
44,44,39,53,-1,1,0,1,2,0,-1,,,,,,
45,45,40,57,1,1,0,5,3,0,2,2.0,14.0,56.0,56.0,2.0,
46,46,42,57,1,1,0,5,3,0,2,2.0,23.0,57.0,57.0,4.0,
47,47,42,53,-1,1,0,1,2,0,-1,,,,,,
48,48,42,50,1,1,0,1,0,0,1,-2.0,90.0,,,,50.0
49,49,44,63,-1,1,0,5,7,0,-2,,,,,,
50,50,45,63,-1,1,0,5,7,0,-2,,,,,,
51,51,45,61,-1,1,0,5,7,0,-2,,,,,,
52,52,46,60,-1,1,0,5,7,0,-2,,,,,,
53,53,46,59,-1,1,0,5,7,0,-2,,,,,,
54,54,46,63,-1,1,0,5,7,0,-2,,,,,,
55,55,47,61,-1,1,0,5,7,0,-2,,,,,,
