,req_index,order_time,desired_time,admit_outcome,predict_with_uncmtd,toa_current_inv,toa_future_exp_return,toa_uncmtd_cnt,toa_occupied_by_pred_same_period,toa_inv_ref,commit_outcome,realized_cycle_duration,commit_time,finish_time,commit_item,fail_time
0,0,2,14,1,1,5,0,0,0,5,2.0,36.0,13.0,13.0,0.0,
1,1,2,15,1,1,5,0,1,0,4,2.0,34.0,14.0,14.0,2.0,
2,2,4,19,1,1,5,0,2,0,3,2.0,19.0,18.0,18.0,3.0,
3,3,4,14,1,1,5,0,0,0,5,2.0,30.0,13.0,13.0,1.0,
4,4,8,21,1,1,5,0,4,0,1,-2.0,29.0,,,,21.0
5,5,8,20,1,1,5,0,4,0,1,2.0,32.0,19.0,19.0,4.0,
6,6,9,29,-1,1,5,0,6,0,-1,,,,,,
7,7,12,32,-1,1,5,0,6,0,-1,,,,,,
8,8,12,28,-1,1,5,0,6,0,-1,,,,,,
9,9,14,28,-1,1,3,0,4,0,-1,,,,,,
10,10,15,26,-1,1,2,0,3,0,-1,,,,,,
11,11,16,35,-1,1,2,0,3,0,-1,,,,,,
12,12,16,35,-1,1,2,0,3,0,-1,,,,,,
13,13,16,34,-1,1,2,0,3,0,-1,,,,,,
14,14,22,31,-1,1,0,0,0,0,0,,,,,,
15,15,23,39,-1,1,0,0,0,0,0,,,,,,
16,16,23,33,-1,1,0,0,0,0,0,,,,,,
17,17,24,42,-1,1,0,0,0,0,0,,,,,,
18,18,24,39,-1,1,0,0,0,0,0,,,,,,
19,19,26,48,-1,1,0,0,0,0,0,,,,,,
20,20,26,39,-1,1,0,0,0,0,0,,,,,,
21,21,30,45,-1,1,0,0,0,0,0,,,,,,
22,22,32,48,-1,1,0,0,0,0,0,,,,,,
23,23,34,46,-1,1,0,0,0,0,0,,,,,,
24,24,36,51,-1,1,0,0,0,0,0,,,,,,
25,25,36,53,1,1,0,3,0,0,3,2.0,84.0,52.0,52.0,2.0,
26,26,37,51,-1,1,0,0,0,0,0,,,,,,
27,27,37,50,-1,1,0,0,0,0,0,,,,,,
28,28,38,52,1,1,1,2,0,0,3,2.0,19.0,51.0,51.0,0.0,
29,29,38,57,1,1,1,3,2,0,2,-2.0,12.0,,,,57.0
30,30,39,64,1,1,1,4,3,0,2,-2.0,20.0,,,,64.0
31,31,40,55,1,1,1,3,2,0,2,-2.0,17.0,,,,55.0
32,32,41,58,1,1,1,4,4,0,1,-2.0,58.0,,,,58.0
33,33,41,62,-1,1,1,4,5,0,0,,,,,,
34,34,42,53,1,1,1,3,1,0,3,2.0,29.0,52.0,52.0,3.0,
35,35,42,50,1,1,1,0,0,0,1,2.0,29.0,49.0,49.0,1.0,
36,36,42,58,-1,1,1,4,6,0,-1,,,,,,
37,37,42,57,-1,1,1,3,5,0,-1,,,,,,
38,38,43,53,1,1,1,3,2,0,2,-2.0,32.0,,,,53.0
39,39,44,58,-1,1,2,3,7,0,-2,,,,,,
40,40,45,59,-1,1,2,3,8,0,-3,,,,,,
41,41,45,57,-1,1,2,2,6,0,-2,,,,,,
42,42,46,58,-1,1,2,3,7,0,-2,,,,,,
43,43,46,57,-1,1,2,2,6,0,-2,,,,,,
44,44,47,62,-1,1,2,3,8,0,-3,,,,,,
45,45,48,59,-1,1,2,3,8,0,-3,,,,,,
46,46,49,65,-1,1,3,2,9,0,-4,,,,,,
47,47,50,67,-1,1,3,1,8,0,-4,,,,,,
48,48,51,67,-1,1,3,1,8,0,-4,,,,,,
49,49,54,66,-1,1,1,0,4,0,-3,,,,,,
50,50,56,69,-1,1,1,0,3,0,-2,,,,,,
51,51,57,71,-1,1,1,0,3,0,-2,,,,,,
52,52,57,70,-1,1,1,0,3,0,-2,,,,,,
53,53,61,75,-1,1,1,0,1,0,0,,,,,,
54,54,62,78,-1,1,1,0,1,0,0,,,,,,
55,55,64,76,-1,1,1,0,1,0,0,,,,,,
56,56,66,77,1,1,1,0,0,0,1,-2.0,32.0,,,,77.0
57,57,67,84,-1,1,1,0,1,0,0,,,,,,
58,58,68,84,-1,1,1,0,1,0,0,,,,,,
59,59,71,80,1,1,2,0,1,0,1,2.0,50.0,79.0,79.0,0.0,
60,60,72,87,-1,1,2,0,2,0,0,,,,,,
61,61,72,82,-1,1,2,0,2,0,0,,,,,,
62,62,74,88,1,1,2,1,2,0,1,2.0,40.0,87.0,87.0,1.0,
63,63,75,87,-1,1,2,0,2,0,0,,,,,,
64,64,76,93,1,1,2,3,3,0,2,-2.0,28.0,,,,93.0
65,65,76,86,-1,1,2,0,2,0,0,,,,,,
66,66,77,95,1,1,2,3,4,0,1,-2.0,22.0,,,,95.0
67,67,78,91,1,1,2,3,2,0,3,-2.0,47.0,,,,91.0
68,68,78,88,1,1,2,1,1,0,2,-2.0,40.0,,,,88.0
69,69,78,92,1,1,2,3,4,0,1,-2.0,36.0,,,,92.0
70,70,79,89,-1,1,3,0,3,0,0,,,,,,
71,71,80,96,-1,1,2,2,6,0,-2,,,,,,
72,72,81,94,-1,1,2,2,5,0,-1,,,,,,
73,73,81,94,-1,1,2,2,5,0,-1,,,,,,
74,74,82,92,1,1,3,1,3,0,1,-2.0,38.0,,,,92.0
75,75,82,93,-1,1,3,1,5,0,-1,,,,,,
76,76,85,99,-1,1,3,1,7,0,-3,,,,,,
77,77,85,95,-1,1,3,1,6,0,-2,,,,,,
78,78,89,103,-1,1,2,1,5,0,-2,,,,,,
79,79,89,108,-1,1,2,1,5,0,-2,,,,,,
80,80,90,103,-1,1,2,1,5,0,-2,,,,,,
81,81,90,101,-1,1,2,1,5,0,-2,,,,,,
82,82,90,107,-1,1,2,1,5,0,-2,,,,,,
83,83,91,106,-1,1,2,1,5,0,-2,,,,,,
84,84,91,106,-1,1,2,1,5,0,-2,,,,,,
85,85,91,101,-1,1,2,1,5,0,-2,,,,,,
86,86,92,105,-1,1,2,1,4,0,-1,,,,,,
87,87,93,107,1,1,2,1,2,0,1,-2.0,58.0,,,,107.0
88,88,94,107,1,1,2,1,1,0,2,-2.0,35.0,,,,107.0
89,89,95,106,1,1,2,1,1,0,2,-2.0,77.0,,,,106.0
90,90,95,107,1,1,2,1,2,0,1,-2.0,57.0,,,,107.0
91,91,96,107,1,1,2,1,1,0,2,-2.0,34.0,,,,107.0
92,92,96,112,-1,1,2,1,5,0,-2,,,,,,
93,93,96,106,1,1,2,1,0,0,3,-2.0,75.0,,,,106.0
94,94,97,109,-1,1,2,1,6,0,-3,,,,,,
95,95,102,115,-1,1,2,1,6,0,-3,,,,,,
96,96,103,111,-1,1,2,1,6,0,-3,,,,,,
97,97,103,114,-1,1,2,1,6,0,-3,,,,,,
98,98,108,119,1,1,2,2,0,0,4,-2.0,17.0,,,,119.0
99,99,108,124,1,1,2,2,1,0,3,-2.0,42.0,,,,124.0
100,100,109,121,1,1,2,2,1,0,3,-2.0,71.0,,,,121.0
101,101,110,126,1,1,2,3,3,0,2,-2.0,20.0,,,,126.0
102,102,110,123,1,1,2,2,2,0,2,-2.0,32.0,,,,123.0
103,103,111,126,1,1,2,3,4,0,1,-2.0,41.0,,,,126.0
104,104,112,127,-1,1,2,3,6,0,-1,,,,,,
105,105,114,126,1,1,2,3,4,0,1,-2.0,85.0,,,,126.0
106,106,115,128,-1,1,2,3,7,0,-2,,,,,,
107,107,115,130,-1,1,2,3,7,0,-2,,,,,,
108,108,116,131,-1,1,2,3,7,0,-2,,,,,,
109,109,118,133,-1,1,2,3,7,0,-2,,,,,,
110,110,119,128,-1,1,2,3,7,0,-2,,,,,,
111,111,120,138,-1,1,2,3,6,0,-1,,,,,,
112,112,120,138,-1,1,2,3,6,0,-1,,,,,,
113,113,122,133,-1,1,2,3,5,0,0,,,,,,
114,114,122,135,-1,1,2,3,5,0,0,,,,,,
115,115,123,141,-1,1,2,3,5,0,0,,,,,,
116,116,124,138,1,1,2,3,4,0,1,2.0,29.0,137.0,137.0,1.0,
117,117,125,138,1,1,2,3,3,0,2,-2.0,67.0,,,,138.0
118,118,125,141,-1,1,2,3,5,0,0,,,,,,
119,119,127,138,1,1,2,3,0,0,5,-2.0,30.0,,,,138.0
120,120,129,147,1,1,3,2,3,0,2,-2.0,40.0,,,,147.0
121,121,129,136,1,1,3,2,0,0,5,2.0,84.0,135.0,135.0,0.0,
122,122,130,139,1,1,4,1,4,0,1,-2.0,20.0,,,,139.0
123,123,131,144,-1,1,4,1,5,0,0,,,,,,
124,124,133,145,-1,1,4,1,5,0,0,,,,,,
125,125,133,147,-1,1,4,1,5,0,0,,,,,,
126,126,135,146,-1,1,4,1,5,0,0,,,,,,
127,127,136,151,-1,1,3,1,5,0,-1,,,,,,
128,128,137,151,-1,1,4,0,5,0,-1,,,,,,
129,129,138,155,-1,1,3,0,4,0,-1,,,,,,
130,130,138,150,-1,1,3,0,4,0,-1,,,,,,
131,131,141,152,1,1,3,0,1,0,2,-2.0,45.0,,,,152.0
132,132,142,156,1,1,3,0,2,0,1,-2.0,20.0,,,,156.0
133,133,143,155,1,1,3,0,2,0,1,-2.0,25.0,,,,155.0
134,134,145,159,-1,1,3,0,4,0,-1,,,,,,
135,135,149,159,-1,1,3,0,3,0,0,,,,,,
136,136,154,169,1,1,3,0,2,0,1,2.0,56.0,168.0,168.0,1.0,
137,137,155,172,-1,1,3,0,3,0,0,,,,,,
138,138,157,175,1,1,3,1,1,0,3,-2.0,62.0,,,,175.0
139,139,158,177,1,1,3,2,2,0,3,-2.0,25.0,,,,177.0
140,140,158,173,1,1,3,0,1,0,2,-2.0,67.0,,,,173.0
141,141,158,172,1,1,3,0,1,0,2,-2.0,32.0,,,,172.0
142,142,158,174,1,1,3,1,3,0,1,-2.0,33.0,,,,174.0
143,143,160,175,-1,1,3,1,4,0,0,,,,,,
144,144,161,172,1,1,3,0,1,0,2,-2.0,19.0,,,,172.0
145,145,163,176,-1,1,3,2,6,0,-1,,,,,,
146,146,163,174,-1,1,3,1,4,0,0,,,,,,
147,147,164,178,-1,1,3,2,7,0,-2,,,,,,
148,148,165,179,-1,1,3,2,7,0,-2,,,,,,
149,149,165,179,-1,1,3,2,7,0,-2,,,,,,
150,152,168,179,-1,1,4,1,7,0,-2,,,,,,
151,158,172,180,-1,1,3,1,6,0,-2,,,,,,
