,rseed,num_req,adm_rate,succ_order_rate,service_rate
FOFS-IT0-current,3,179,7.8212,100.0,7.8212
EDD-1-IT0-current,3,179,26.8156,27.0833,7.2626
EDD-2-IT0-current,3,179,26.257,27.6596,7.2626
EDD-3-IT0-current,3,179,24.0223,30.2326,7.2626
EDD-4-IT0-current,3,179,21.7877,33.3333,7.2626
EDD-5-IT0-current,3,179,19.5531,40.0,7.8212
EDD-6-IT0-current,3,179,17.3184,45.1613,7.8212
FOFS-ITInf-current,3,179,100.0,7.8212,7.8212
EDD-1-ITInf-current,3,179,100.0,7.2626,7.2626
EDD-2-ITInf-current,3,179,100.0,7.2626,7.2626
EDD-3-ITInf-current,3,179,100.0,7.2626,7.2626
EDD-4-ITInf-current,3,179,100.0,7.2626,7.2626
EDD-5-ITInf-current,3,179,100.0,7.2626,7.2626
EDD-6-ITInf-current,3,179,100.0,7.2626,7.2626
FOFS-IT0-future,3,179,84.3575,9.2715,7.8212
EDD-1-IT0-future,3,179,89.9441,9.3168,8.3799
EDD-2-IT0-future,3,179,89.9441,8.6957,7.8212
EDD-3-IT0-future,3,179,88.2682,8.8608,7.8212
EDD-4-IT0-future,3,179,88.2682,8.8608,7.8212
EDD-5-IT0-future,3,179,87.1508,8.9744,7.8212
EDD-6-IT0-future,3,179,86.5922,9.0323,7.8212
FOFS-ITInf-future,3,179,100.0,7.8212,7.8212
EDD-1-ITInf-future,3,179,100.0,7.2626,7.2626
EDD-2-ITInf-future,3,179,100.0,7.2626,7.2626
EDD-3-ITInf-future,3,179,100.0,7.2626,7.2626
EDD-4-ITInf-future,3,179,100.0,7.2626,7.2626
EDD-5-ITInf-future,3,179,100.0,7.2626,7.2626
EDD-6-ITInf-future,3,179,100.0,7.2626,7.2626
FOFS-IT0-future_cstp,3,179,28.4916,27.451,7.8212
EDD-1-IT0-future_cstp,3,179,32.4022,20.6897,6.7039
EDD-2-IT0-future_cstp,3,179,30.7263,25.4545,7.8212
EDD-3-IT0-future_cstp,3,179,30.7263,25.4545,7.8212
EDD-4-IT0-future_cstp,3,179,30.7263,25.4545,7.8212
EDD-5-IT0-future_cstp,3,179,30.7263,25.4545,7.8212
EDD-6-IT0-future_cstp,3,179,30.7263,25.4545,7.8212
FOFS-ITInf-future_cstp,3,179,100.0,7.8212,7.8212
EDD-1-ITInf-future_cstp,3,179,100.0,7.2626,7.2626
EDD-2-ITInf-future_cstp,3,179,100.0,7.2626,7.2626
EDD-3-ITInf-future_cstp,3,179,100.0,7.2626,7.2626
EDD-4-ITInf-future_cstp,3,179,100.0,7.2626,7.2626
EDD-5-ITInf-future_cstp,3,179,100.0,7.2626,7.2626
EDD-6-ITInf-future_cstp,3,179,100.0,7.2626,7.2626
