,rseed,num_req,adm_rate,succ_order_rate,service_rate
FOFS-IT0-current,11,180,7.2222,100.0,7.2222
EDD-1-IT0-current,11,180,28.3333,31.3725,8.8889
EDD-2-IT0-current,11,180,30.5556,29.0909,8.8889
EDD-3-IT0-current,11,180,28.3333,31.3725,8.8889
EDD-4-IT0-current,11,180,27.7778,30.0,8.3333
EDD-5-IT0-current,11,180,25.0,33.3333,8.3333
EDD-6-IT0-current,11,180,20.5556,40.5405,8.3333
FOFS-ITInf-current,11,180,100.0,8.8889,8.8889
EDD-1-ITInf-current,11,180,100.0,9.4444,9.4444
EDD-2-ITInf-current,11,180,100.0,9.4444,9.4444
EDD-3-ITInf-current,11,180,100.0,9.4444,9.4444
EDD-4-ITInf-current,11,180,100.0,9.4444,9.4444
EDD-5-ITInf-current,11,180,100.0,9.4444,9.4444
EDD-6-ITInf-current,11,180,100.0,9.4444,9.4444
FOFS-IT0-future,11,180,93.3333,9.5238,8.8889
EDD-1-IT0-future,11,180,93.8889,11.8343,11.1111
EDD-2-IT0-future,11,180,93.8889,11.8343,11.1111
EDD-3-IT0-future,11,180,93.3333,11.9048,11.1111
EDD-4-IT0-future,11,180,92.7778,11.976,11.1111
EDD-5-IT0-future,11,180,92.7778,11.976,11.1111
EDD-6-IT0-future,11,180,92.7778,11.3772,10.5556
FOFS-ITInf-future,11,180,100.0,8.8889,8.8889
EDD-1-ITInf-future,11,180,100.0,9.4444,9.4444
EDD-2-ITInf-future,11,180,100.0,9.4444,9.4444
EDD-3-ITInf-future,11,180,100.0,9.4444,9.4444
EDD-4-ITInf-future,11,180,100.0,9.4444,9.4444
EDD-5-ITInf-future,11,180,100.0,9.4444,9.4444
EDD-6-ITInf-future,11,180,100.0,9.4444,9.4444
FOFS-IT0-future_cstp,11,180,27.7778,34.0,9.4444
EDD-1-IT0-future_cstp,11,180,29.4444,32.0755,9.4444
EDD-2-IT0-future_cstp,11,180,31.1111,30.3571,9.4444
EDD-3-IT0-future_cstp,11,180,27.7778,36.0,10.0
EDD-4-IT0-future_cstp,11,180,27.2222,36.7347,10.0
EDD-5-IT0-future_cstp,11,180,26.6667,37.5,10.0
EDD-6-IT0-future_cstp,11,180,30.0,31.4815,9.4444
FOFS-ITInf-future_cstp,11,180,100.0,8.8889,8.8889
EDD-1-ITInf-future_cstp,11,180,100.0,9.4444,9.4444
EDD-2-ITInf-future_cstp,11,180,100.0,9.4444,9.4444
EDD-3-ITInf-future_cstp,11,180,100.0,9.4444,9.4444
EDD-4-ITInf-future_cstp,11,180,100.0,9.4444,9.4444
EDD-5-ITInf-future_cstp,11,180,100.0,9.4444,9.4444
EDD-6-ITInf-future_cstp,11,180,100.0,9.4444,9.4444
