,rseed,num_req,adm_rate,succ_order_rate,service_rate
FOFS-IT0-current,9,180,8.3333,100.0,8.3333
EDD-1-IT0-current,9,180,22.7778,26.8293,6.1111
EDD-2-IT0-current,9,180,18.8889,32.3529,6.1111
EDD-3-IT0-current,9,180,17.7778,34.375,6.1111
EDD-4-IT0-current,9,180,22.7778,34.1463,7.7778
EDD-5-IT0-current,9,180,21.6667,38.4615,8.3333
EDD-6-IT0-current,9,180,15.5556,39.2857,6.1111
FOFS-ITInf-current,9,180,100.0,7.7778,7.7778
EDD-1-ITInf-current,9,180,100.0,7.7778,7.7778
EDD-2-ITInf-current,9,180,100.0,7.7778,7.7778
EDD-3-ITInf-current,9,180,100.0,7.7778,7.7778
EDD-4-ITInf-current,9,180,100.0,7.7778,7.7778
EDD-5-ITInf-current,9,180,100.0,7.7778,7.7778
EDD-6-ITInf-current,9,180,100.0,7.7778,7.7778
FOFS-IT0-future,9,180,85.5556,8.4416,7.2222
EDD-1-IT0-future,9,180,84.4444,9.8684,8.3333
EDD-2-IT0-future,9,180,85.0,8.4967,7.2222
EDD-3-IT0-future,9,180,86.1111,8.3871,7.2222
EDD-4-IT0-future,9,180,86.6667,8.9744,7.7778
EDD-5-IT0-future,9,180,85.5556,9.0909,7.7778
EDD-6-IT0-future,9,180,87.2222,10.1911,8.8889
FOFS-ITInf-future,9,180,100.0,7.7778,7.7778
EDD-1-ITInf-future,9,180,100.0,7.7778,7.7778
EDD-2-ITInf-future,9,180,100.0,7.7778,7.7778
EDD-3-ITInf-future,9,180,100.0,7.7778,7.7778
EDD-4-ITInf-future,9,180,100.0,7.7778,7.7778
EDD-5-ITInf-future,9,180,100.0,7.7778,7.7778
EDD-6-ITInf-future,9,180,100.0,7.7778,7.7778
FOFS-IT0-future_cstp,9,180,31.6667,22.807,7.2222
EDD-1-IT0-future_cstp,9,180,27.2222,30.6122,8.3333
EDD-2-IT0-future_cstp,9,180,29.4444,20.7547,6.1111
EDD-3-IT0-future_cstp,9,180,30.0,24.0741,7.2222
EDD-4-IT0-future_cstp,9,180,31.6667,22.807,7.2222
EDD-5-IT0-future_cstp,9,180,30.0,27.7778,8.3333
EDD-6-IT0-future_cstp,9,180,27.2222,36.7347,10.0
FOFS-ITInf-future_cstp,9,180,100.0,7.7778,7.7778
EDD-1-ITInf-future_cstp,9,180,100.0,7.7778,7.7778
EDD-2-ITInf-future_cstp,9,180,100.0,7.7778,7.7778
EDD-3-ITInf-future_cstp,9,180,100.0,7.7778,7.7778
EDD-4-ITInf-future_cstp,9,180,100.0,7.7778,7.7778
EDD-5-ITInf-future_cstp,9,180,100.0,7.7778,7.7778
EDD-6-ITInf-future_cstp,9,180,100.0,7.7778,7.7778
