,rseed,num_req,adm_rate,succ_order_rate,service_rate
FOFS-IT0-current,4,179,8.3799,100.0,8.3799
EDD-1-IT0-current,4,179,30.1676,22.2222,6.7039
EDD-2-IT0-current,4,179,27.933,24.0,6.7039
EDD-3-IT0-current,4,179,26.257,25.5319,6.7039
EDD-4-IT0-current,4,179,29.0503,26.9231,7.8212
EDD-5-IT0-current,4,179,26.257,29.7872,7.8212
EDD-6-IT0-current,4,179,25.1397,28.8889,7.2626
FOFS-ITInf-current,4,179,100.0,9.4972,9.4972
EDD-1-ITInf-current,4,179,100.0,7.8212,7.8212
EDD-2-ITInf-current,4,179,100.0,7.8212,7.8212
EDD-3-ITInf-current,4,179,100.0,7.8212,7.8212
EDD-4-ITInf-current,4,179,100.0,7.8212,7.8212
EDD-5-ITInf-current,4,179,100.0,7.8212,7.8212
EDD-6-ITInf-current,4,179,100.0,7.8212,7.8212
FOFS-IT0-future,4,179,92.1788,10.303,9.4972
EDD-1-IT0-future,4,179,94.4134,7.6923,7.2626
EDD-2-IT0-future,4,179,94.4134,7.6923,7.2626
EDD-3-IT0-future,4,179,94.4134,7.6923,7.2626
EDD-4-IT0-future,4,179,95.5307,8.7719,8.3799
EDD-5-IT0-future,4,179,94.9721,8.8235,8.3799
EDD-6-IT0-future,4,179,95.5307,7.6023,7.2626
FOFS-ITInf-future,4,179,100.0,9.4972,9.4972
EDD-1-ITInf-future,4,179,100.0,7.8212,7.8212
EDD-2-ITInf-future,4,179,100.0,7.8212,7.8212
EDD-3-ITInf-future,4,179,100.0,7.8212,7.8212
EDD-4-ITInf-future,4,179,100.0,7.8212,7.8212
EDD-5-ITInf-future,4,179,100.0,7.8212,7.8212
EDD-6-ITInf-future,4,179,100.0,7.8212,7.8212
FOFS-IT0-future_cstp,4,179,30.1676,27.7778,8.3799
EDD-1-IT0-future_cstp,4,179,29.6089,26.4151,7.8212
EDD-2-IT0-future_cstp,4,179,29.6089,24.5283,7.2626
EDD-3-IT0-future_cstp,4,179,30.1676,24.0741,7.2626
EDD-4-IT0-future_cstp,4,179,30.7263,27.2727,8.3799
EDD-5-IT0-future_cstp,4,179,31.2849,26.7857,8.3799
EDD-6-IT0-future_cstp,4,179,27.3743,32.6531,8.9385
FOFS-ITInf-future_cstp,4,179,100.0,9.4972,9.4972
EDD-1-ITInf-future_cstp,4,179,100.0,7.8212,7.8212
EDD-2-ITInf-future_cstp,4,179,100.0,7.8212,7.8212
EDD-3-ITInf-future_cstp,4,179,100.0,7.8212,7.8212
EDD-4-ITInf-future_cstp,4,179,100.0,7.8212,7.8212
EDD-5-ITInf-future_cstp,4,179,100.0,7.8212,7.8212
EDD-6-ITInf-future_cstp,4,179,100.0,7.8212,7.8212
