,rseed,num_req,adm_rate,succ_order_rate,service_rate
FOFS-IT0-current,15,154,9.0909,100.0,9.0909
EDD-1-IT0-current,15,154,31.8182,28.5714,9.0909
EDD-2-IT0-current,15,154,30.5195,29.7872,9.0909
EDD-3-IT0-current,15,154,28.5714,31.8182,9.0909
EDD-4-IT0-current,15,154,25.974,35.0,9.0909
EDD-5-IT0-current,15,154,26.6234,34.1463,9.0909
EDD-6-IT0-current,15,154,23.3766,38.8889,9.0909
FOFS-ITInf-current,15,154,100.0,11.039,11.039
EDD-1-ITInf-current,15,154,100.0,11.039,11.039
EDD-2-ITInf-current,15,154,100.0,11.039,11.039
EDD-3-ITInf-current,15,154,100.0,11.039,11.039
EDD-4-ITInf-current,15,154,100.0,11.039,11.039
EDD-5-ITInf-current,15,154,100.0,11.039,11.039
EDD-6-ITInf-current,15,154,100.0,11.039,11.039
FOFS-IT0-future,15,154,83.7662,11.6279,9.7403
EDD-1-IT0-future,15,154,90.9091,10.0,9.0909
EDD-2-IT0-future,15,154,90.9091,10.0,9.0909
EDD-3-IT0-future,15,154,90.2597,10.0719,9.0909
EDD-4-IT0-future,15,154,88.961,10.219,9.0909
EDD-5-IT0-future,15,154,88.961,10.219,9.0909
EDD-6-IT0-future,15,154,87.6623,10.3704,9.0909
FOFS-ITInf-future,15,154,100.0,11.039,11.039
EDD-1-ITInf-future,15,154,100.0,11.039,11.039
EDD-2-ITInf-future,15,154,100.0,11.039,11.039
EDD-3-ITInf-future,15,154,100.0,11.039,11.039
EDD-4-ITInf-future,15,154,100.0,11.039,11.039
EDD-5-ITInf-future,15,154,100.0,11.039,11.039
EDD-6-ITInf-future,15,154,100.0,11.039,11.039
FOFS-IT0-future_cstp,15,154,31.1688,27.0833,8.4416
EDD-1-IT0-future_cstp,15,154,29.8701,30.4348,9.0909
EDD-2-IT0-future_cstp,15,154,29.8701,30.4348,9.0909
EDD-3-IT0-future_cstp,15,154,29.8701,30.4348,9.0909
EDD-4-IT0-future_cstp,15,154,29.8701,30.4348,9.0909
EDD-5-IT0-future_cstp,15,154,29.8701,30.4348,9.0909
EDD-6-IT0-future_cstp,15,154,29.8701,30.4348,9.0909
FOFS-ITInf-future_cstp,15,154,100.0,11.039,11.039
EDD-1-ITInf-future_cstp,15,154,100.0,11.039,11.039
EDD-2-ITInf-future_cstp,15,154,100.0,11.039,11.039
EDD-3-ITInf-future_cstp,15,154,100.0,11.039,11.039
EDD-4-ITInf-future_cstp,15,154,100.0,11.039,11.039
EDD-5-ITInf-future_cstp,15,154,100.0,11.039,11.039
EDD-6-ITInf-future_cstp,15,154,100.0,11.039,11.039
