,rseed,num_req,adm_rate,succ_order_rate,service_rate
EDD-4-IT0-current,11,165,48.4848,16.25,7.8788
EDD-5-IT0-current,11,165,47.8788,15.1899,7.2727
EDD-6-IT0-current,11,165,44.8485,16.2162,7.2727
FOFS-ITInf-current,11,165,100.0,8.4848,8.4848
EDD-1-ITInf-current,11,165,100.0,10.303,10.303
EDD-2-ITInf-current,11,165,100.0,10.303,10.303
EDD-3-ITInf-current,11,165,100.0,10.303,10.303
EDD-4-ITInf-current,11,165,100.0,10.303,10.303
EDD-5-ITInf-current,11,165,100.0,10.303,10.303
EDD-6-ITInf-current,11,165,100.0,10.303,10.303
FOFS-IT0-future,11,165,69.0909,12.2807,8.4848
EDD-1-IT0-future,11,165,53.9394,15.7303,8.4848
EDD-2-IT0-future,11,165,54.5455,15.5556,8.4848
EDD-3-IT0-future,11,165,52.7273,16.092,8.4848
EDD-4-IT0-future,11,165,56.9697,14.8936,8.4848
EDD-5-IT0-future,11,165,58.1818,14.5833,8.4848
EDD-6-IT0-future,11,165,60.6061,16.0,9.697
FOFS-ITInf-future,11,165,100.0,8.4848,8.4848
EDD-1-ITInf-future,11,165,100.0,10.303,10.303
EDD-2-ITInf-future,11,165,100.0,10.303,10.303
EDD-3-ITInf-future,11,165,100.0,10.303,10.303
EDD-4-ITInf-future,11,165,100.0,10.303,10.303
EDD-5-ITInf-future,11,165,100.0,10.303,10.303
EDD-6-ITInf-future,11,165,100.0,10.303,10.303
FOFS-IT0-future_cstp,11,165,13.9394,52.1739,7.2727
EDD-1-IT0-future_cstp,11,165,13.3333,59.0909,7.8788
EDD-2-IT0-future_cstp,11,165,12.7273,61.9048,7.8788
EDD-3-IT0-future_cstp,11,165,12.7273,61.9048,7.8788
EDD-4-IT0-future_cstp,11,165,13.3333,54.5455,7.2727
EDD-5-IT0-future_cstp,11,165,10.303,76.4706,7.8788
EDD-6-IT0-future_cstp,11,165,13.3333,59.0909,7.8788
FOFS-ITInf-future_cstp,11,165,100.0,8.4848,8.4848
EDD-1-ITInf-future_cstp,11,165,100.0,10.303,10.303
EDD-2-ITInf-future_cstp,11,165,100.0,10.303,10.303
EDD-3-ITInf-future_cstp,11,165,100.0,10.303,10.303
EDD-4-ITInf-future_cstp,11,165,100.0,10.303,10.303
EDD-5-ITInf-future_cstp,11,165,100.0,10.303,10.303
EDD-6-ITInf-future_cstp,11,165,100.0,10.303,10.303
FOFS-IT0-current,12,136,8.0882,100.0,8.0882
EDD-1-IT0-current,12,136,42.6471,17.2414,7.3529
