,rseed,num_req,adm_rate,succ_order_rate,service_rate
FOFS-IT0-current,23,158,9.4937,100.0,9.4937
EDD-1-IT0-current,23,158,32.9114,30.7692,10.1266
EDD-2-IT0-current,23,158,33.5443,28.3019,9.4937
EDD-3-IT0-current,23,158,29.7468,31.9149,9.4937
EDD-4-IT0-current,23,158,27.8481,34.0909,9.4937
EDD-5-IT0-current,23,158,25.9494,36.5854,9.4937
EDD-6-IT0-current,23,158,23.4177,40.5405,9.4937
FOFS-ITInf-current,23,158,100.0,9.4937,9.4937
EDD-1-ITInf-current,23,158,100.0,10.7595,10.7595
EDD-2-ITInf-current,23,158,100.0,10.7595,10.7595
EDD-3-ITInf-current,23,158,100.0,10.7595,10.7595
EDD-4-ITInf-current,23,158,100.0,10.7595,10.7595
EDD-5-ITInf-current,23,158,100.0,10.7595,10.7595
EDD-6-ITInf-current,23,158,100.0,10.7595,10.7595
FOFS-IT0-future,23,158,90.5063,10.4895,9.4937
EDD-1-IT0-future,23,158,93.038,11.5646,10.7595
EDD-2-IT0-future,23,158,93.6709,10.8108,10.1266
EDD-3-IT0-future,23,158,91.7722,11.0345,10.1266
EDD-4-IT0-future,23,158,92.4051,11.6438,10.7595
EDD-5-IT0-future,23,158,91.7722,11.7241,10.7595
EDD-6-IT0-future,23,158,91.7722,11.7241,10.7595
FOFS-ITInf-future,23,158,100.0,9.4937,9.4937
EDD-1-ITInf-future,23,158,100.0,10.7595,10.7595
EDD-2-ITInf-future,23,158,100.0,10.7595,10.7595
EDD-3-ITInf-future,23,158,100.0,10.7595,10.7595
EDD-4-ITInf-future,23,158,100.0,10.7595,10.7595
EDD-5-ITInf-future,23,158,100.0,10.7595,10.7595
EDD-6-ITInf-future,23,158,100.0,10.7595,10.7595
FOFS-IT0-future_cstp,23,158,39.8734,22.2222,8.8608
EDD-1-IT0-future_cstp,23,158,33.5443,30.1887,10.1266
EDD-2-IT0-future_cstp,23,158,34.1772,25.9259,8.8608
EDD-3-IT0-future_cstp,23,158,34.1772,25.9259,8.8608
EDD-4-IT0-future_cstp,23,158,36.0759,22.807,8.2278
EDD-5-IT0-future_cstp,23,158,32.2785,31.3725,10.1266
EDD-6-IT0-future_cstp,23,158,33.5443,30.1887,10.1266
FOFS-ITInf-future_cstp,23,158,100.0,9.4937,9.4937
EDD-1-ITInf-future_cstp,23,158,100.0,10.7595,10.7595
EDD-2-ITInf-future_cstp,23,158,100.0,10.7595,10.7595
EDD-3-ITInf-future_cstp,23,158,100.0,10.7595,10.7595
EDD-4-ITInf-future_cstp,23,158,100.0,10.7595,10.7595
EDD-5-ITInf-future_cstp,23,158,100.0,10.7595,10.7595
EDD-6-ITInf-future_cstp,23,158,100.0,10.7595,10.7595
