,rseed,num_req,adm_rate,succ_order_rate,service_rate
FOFS-IT0-current,19,161,7.4534,100.0,7.4534
EDD-1-IT0-current,19,161,34.1615,23.6364,8.0745
EDD-2-IT0-current,19,161,36.0248,25.8621,9.3168
EDD-3-IT0-current,19,161,33.5404,27.7778,9.3168
EDD-4-IT0-current,19,161,29.8137,31.25,9.3168
EDD-5-IT0-current,19,161,27.9503,33.3333,9.3168
EDD-6-IT0-current,19,161,26.7081,34.8837,9.3168
FOFS-ITInf-current,19,161,100.0,11.1801,11.1801
EDD-1-ITInf-current,19,161,100.0,8.6957,8.6957
EDD-2-ITInf-current,19,161,100.0,8.6957,8.6957
EDD-3-ITInf-current,19,161,100.0,8.6957,8.6957
EDD-4-ITInf-current,19,161,100.0,8.6957,8.6957
EDD-5-ITInf-current,19,161,100.0,8.6957,8.6957
EDD-6-ITInf-current,19,161,100.0,8.6957,8.6957
FOFS-IT0-future,19,161,85.0932,13.1387,11.1801
EDD-1-IT0-future,19,161,86.3354,10.7914,9.3168
EDD-2-IT0-future,19,161,86.9565,12.8571,11.1801
EDD-3-IT0-future,19,161,86.3354,12.9496,11.1801
EDD-4-IT0-future,19,161,86.9565,12.1429,10.559
EDD-5-IT0-future,19,161,86.9565,12.1429,10.559
EDD-6-IT0-future,19,161,86.3354,12.2302,10.559
FOFS-ITInf-future,19,161,100.0,11.1801,11.1801
EDD-1-ITInf-future,19,161,100.0,8.6957,8.6957
EDD-2-ITInf-future,19,161,100.0,8.6957,8.6957
EDD-3-ITInf-future,19,161,100.0,8.6957,8.6957
EDD-4-ITInf-future,19,161,100.0,8.6957,8.6957
EDD-5-ITInf-future,19,161,100.0,8.6957,8.6957
EDD-6-ITInf-future,19,161,100.0,8.6957,8.6957
FOFS-IT0-future_cstp,19,161,32.2981,28.8462,9.3168
EDD-1-IT0-future_cstp,19,161,27.9503,35.5556,9.9379
EDD-2-IT0-future_cstp,19,161,28.5714,34.7826,9.9379
EDD-3-IT0-future_cstp,19,161,26.7081,41.8605,11.1801
EDD-4-IT0-future_cstp,19,161,29.1925,34.0426,9.9379
EDD-5-IT0-future_cstp,19,161,30.4348,32.6531,9.9379
EDD-6-IT0-future_cstp,19,161,30.4348,32.6531,9.9379
FOFS-ITInf-future_cstp,19,161,100.0,11.1801,11.1801
EDD-1-ITInf-future_cstp,19,161,100.0,8.6957,8.6957
EDD-2-ITInf-future_cstp,19,161,100.0,8.6957,8.6957
EDD-3-ITInf-future_cstp,19,161,100.0,8.6957,8.6957
EDD-4-ITInf-future_cstp,19,161,100.0,8.6957,8.6957
EDD-5-ITInf-future_cstp,19,161,100.0,8.6957,8.6957
EDD-6-ITInf-future_cstp,19,161,100.0,8.6957,8.6957
